,,Pais,level_1,date,/m/06k1r,isPartial,log,cycle,trend
US,0,US,0,2010-01-01,100.0,False,4.605170185988092,-0.013152390631756106,4.618322576619848
US,1,US,1,2010-02-01,94.0,False,4.543294782270004,-0.04153082699276833,4.584825609262772
US,2,US,2,2010-03-01,97.0,False,4.574710978503383,0.023601543108214607,4.551109435395168
US,3,US,3,2010-04-01,96.0,False,4.564348191467836,0.04808552341120986,4.516262668056626
US,4,US,4,2010-05-01,92.0,False,4.5217885770490405,0.042021297710499894,4.479767279338541
US,5,US,5,2010-06-01,87.0,False,4.465908118654584,0.024001451932091022,4.441906666722493
US,6,US,6,2010-07-01,85.0,False,4.442651256490317,0.03898667383840859,4.403664582651908
US,7,US,7,2010-08-01,83.0,False,4.418840607796598,0.05241580402752177,4.3664248037690765
US,8,US,8,2010-09-01,73.0,False,4.290459441148391,-0.04176144346520605,4.332220884613597
US,9,US,9,2010-10-01,68.0,False,4.219507705176107,-0.08445227128274624,4.303959976458853
US,10,US,10,2010-11-01,65.0,False,4.174387269895637,-0.10946593662483828,4.283853206520475
US,11,US,11,2010-12-01,59.0,False,4.07753744390572,-0.195166720253658,4.272704164159378
US,12,US,12,2011-01-01,74.0,False,4.30406509320417,0.03457308674477222,4.269492006459398
US,13,US,13,2011-02-01,79.0,False,4.3694478524670215,0.09950474063353987,4.269943111833482
US,14,US,14,2011-03-01,75.0,False,4.31748811353631,0.047128036729326084,4.270360076806984
US,15,US,15,2011-04-01,73.0,False,4.290459441148391,0.021755530899234543,4.268703910249156
US,16,US,16,2011-05-01,72.0,False,4.276666119016055,0.012945030707985694,4.26372108830807
US,17,US,17,2011-06-01,77.0,False,4.343805421853684,0.08928474254023389,4.25452067931345
US,18,US,18,2011-07-01,75.0,False,4.31748811353631,0.07706061142948784,4.240427502106822
US,19,US,19,2011-08-01,74.0,False,4.30406509320417,0.08181063863211957,4.222254454572051
US,20,US,20,2011-09-01,66.0,False,4.189654742026425,-0.012444036090397681,4.202098778116823
US,21,US,21,2011-10-01,60.0,False,4.0943445622221,-0.08907666257059521,4.183421224792696
US,22,US,22,2011-11-01,57.0,False,4.04305126783455,-0.1264238782151672,4.1694751460497175
US,23,US,23,2011-12-01,53.0,False,3.970291913552122,-0.19173736874297065,4.162029282295093
US,24,US,24,2012-01-01,68.0,False,4.219507705176107,0.05876239587700294,4.160745309299104
US,25,US,25,2012-02-01,65.0,False,4.174387269895637,0.012297989875983184,4.162089280019654
US,26,US,26,2012-03-01,66.0,False,4.189654742026425,0.026148121347168818,4.163506620679256
US,27,US,27,2012-04-01,70.0,False,4.248495242049359,0.08584751805099966,4.16264772399836
US,28,US,28,2012-05-01,66.0,False,4.189654742026425,0.03205595730655997,4.157598784719865
US,29,US,29,2012-06-01,65.0,False,4.174387269895637,0.026510480341449316,4.1478767895541875
US,30,US,30,2012-07-01,71.0,False,4.2626798770413155,0.12914688587446665,4.133532991166849
US,31,US,31,2012-08-01,67.0,False,4.204692619390966,0.08963213582857232,4.115060483562393
US,32,US,32,2012-09-01,58.0,False,4.060443010546419,-0.03466179829684979,4.095104808843269
US,33,US,33,2012-10-01,54.0,False,3.9889840465642745,-0.0888213314781261,4.077805378042401
US,34,US,34,2012-11-01,49.0,False,3.8918202981106265,-0.17490360744380817,4.066723905554435
US,35,US,35,2012-12-01,47.0,False,3.8501476017100584,-0.21379414853932044,4.063941750249379
US,36,US,36,2013-01-01,62.0,False,4.127134385045092,0.05850917417191415,4.0686252108731775
