Categoría: Todas las categorías

Semana,Inmueble: (Canadá)
2018-04-15,72
2018-04-22,67
2018-04-29,69
2018-05-06,64
2018-05-13,70
2018-05-20,74
2018-05-27,68
2018-06-03,73
2018-06-10,73
2018-06-17,72
2018-06-24,67
2018-07-01,69
2018-07-08,74
2018-07-15,73
2018-07-22,74
2018-07-29,73
2018-08-05,71
2018-08-12,77
2018-08-19,73
2018-08-26,67
2018-09-02,67
2018-09-09,65
2018-09-16,64
2018-09-23,61
2018-09-30,58
2018-10-07,56
2018-10-14,57
2018-10-21,55
2018-10-28,63
2018-11-04,56
2018-11-11,53
2018-11-18,53
2018-11-25,53
2018-12-02,51
2018-12-09,48
2018-12-16,49
2018-12-23,50
2018-12-30,58
2019-01-06,57
2019-01-13,62
2019-01-20,60
2019-01-27,59
2019-02-03,59
2019-02-10,59
2019-02-17,62
2019-02-24,60
2019-03-03,68
2019-03-10,63
2019-03-17,68
2019-03-24,73
2019-03-31,74
2019-04-07,78
2019-04-14,66
2019-04-21,69
2019-04-28,69
2019-05-05,68
2019-05-12,72
2019-05-19,73
2019-05-26,69
2019-06-02,71
2019-06-09,66
2019-06-16,66
2019-06-23,66
2019-06-30,68
2019-07-07,73
2019-07-14,72
2019-07-21,68
2019-07-28,69
2019-08-04,70
2019-08-11,65
2019-08-18,72
2019-08-25,68
2019-09-01,61
2019-09-08,62
2019-09-15,63
2019-09-22,66
2019-09-29,63
2019-10-06,63
2019-10-13,62
2019-10-20,62
2019-10-27,61
2019-11-03,62
2019-11-10,54
2019-11-17,54
2019-11-24,49
2019-12-01,55
2019-12-08,50
2019-12-15,53
2019-12-22,50
2019-12-29,65
2020-01-05,68
2020-01-12,60
2020-01-19,64
2020-01-26,63
2020-02-02,74
2020-02-09,67
2020-02-16,78
2020-02-23,69
2020-03-01,78
2020-03-08,69
2020-03-15,57
2020-03-22,52
2020-03-29,56
2020-04-05,54
2020-04-12,61
2020-04-19,63
2020-04-26,70
2020-05-03,71
2020-05-10,77
2020-05-17,77
2020-05-24,81
2020-05-31,80
2020-06-07,77
2020-06-14,86
2020-06-21,84
2020-06-28,91
2020-07-05,92
2020-07-12,92
2020-07-19,91
2020-07-26,91
2020-08-02,96
2020-08-09,96
2020-08-16,98
2020-08-23,94
2020-08-30,88
2020-09-06,91
2020-09-13,85
2020-09-20,83
2020-09-27,82
2020-10-04,82
2020-10-11,85
2020-10-18,80
2020-10-25,73
2020-11-01,62
2020-11-08,70
2020-11-15,70
2020-11-22,61
2020-11-29,66
2020-12-06,67
2020-12-13,62
2020-12-20,55
2020-12-27,71
2021-01-03,75
2021-01-10,81
2021-01-17,86
2021-01-24,85
2021-01-31,86
2021-02-07,88
2021-02-14,92
2021-02-21,92
2021-02-28,91
2021-03-07,93
2021-03-14,99
2021-03-21,100
2021-03-28,97
2021-04-04,93
2021-04-11,90
2021-04-18,95
2021-04-25,91
2021-05-02,98
2021-05-09,89
2021-05-16,86
2021-05-23,86
2021-05-30,86
2021-06-06,87
2021-06-13,78
2021-06-20,77
2021-06-27,72
2021-07-04,81
2021-07-11,85
2021-07-18,79
2021-07-25,77
2021-08-01,80
2021-08-08,82
2021-08-15,88
2021-08-22,79
2021-08-29,77
2021-09-05,73
2021-09-12,74
2021-09-19,74
2021-09-26,70
2021-10-03,74
2021-10-10,77
2021-10-17,76
2021-10-24,68
2021-10-31,68
2021-11-07,70
2021-11-14,64
2021-11-21,61
2021-11-28,61
2021-12-05,61
2021-12-12,58
2021-12-19,52
2021-12-26,62
2022-01-02,78
2022-01-09,83
2022-01-16,79
2022-01-23,81
2022-01-30,79
2022-02-06,89
2022-02-13,87
2022-02-20,88
2022-02-27,84
2022-03-06,84
2022-03-13,87
2022-03-20,89
2022-03-27,87
2022-04-03,90
2022-04-10,83
2022-04-17,88
2022-04-24,85
2022-05-01,84
2022-05-08,83
2022-05-15,78
2022-05-22,74
2022-05-29,75
2022-06-05,80
2022-06-12,79
2022-06-19,79
2022-06-26,71
2022-07-03,79
2022-07-10,76
2022-07-17,77
2022-07-24,74
2022-07-31,83
2022-08-07,80
2022-08-14,75
2022-08-21,76
2022-08-28,78
2022-09-04,69
2022-09-11,67
2022-09-18,68
2022-09-25,63
2022-10-02,65
2022-10-09,62
2022-10-16,62
2022-10-23,60
2022-10-30,59
2022-11-06,53
2022-11-13,54
2022-11-20,51
2022-11-27,49
2022-12-04,50
2022-12-11,51
2022-12-18,48
2022-12-25,49
2023-01-01,60
2023-01-08,63
2023-01-15,60
2023-01-22,67
2023-01-29,68
2023-02-05,66
2023-02-12,61
2023-02-19,65
2023-02-26,63
2023-03-05,68
2023-03-12,67
2023-03-19,68
2023-03-26,69
2023-04-02,67
2023-04-09,66
