Categoría: Todas las categorías

Semana,Inmueble: (Chile)
2018-04-15,83
2018-04-22,80
2018-04-29,67
2018-05-06,74
2018-05-13,75
2018-05-20,67
2018-05-27,59
2018-06-03,70
2018-06-10,71
2018-06-17,73
2018-06-24,68
2018-07-01,61
2018-07-08,80
2018-07-15,85
2018-07-22,92
2018-07-29,88
2018-08-05,83
2018-08-12,89
2018-08-19,83
2018-08-26,82
2018-09-02,77
2018-09-09,74
2018-09-16,72
2018-09-23,83
2018-09-30,87
2018-10-07,74
2018-10-14,86
2018-10-21,86
2018-10-28,75
2018-11-04,77
2018-11-11,79
2018-11-18,84
2018-11-25,79
2018-12-02,72
2018-12-09,75
2018-12-16,62
2018-12-23,60
2018-12-30,64
2019-01-06,84
2019-01-13,82
2019-01-20,90
2019-01-27,82
2019-02-03,83
2019-02-10,82
2019-02-17,91
2019-02-24,82
2019-03-03,84
2019-03-10,90
2019-03-17,89
2019-03-24,87
2019-03-31,85
2019-04-07,94
2019-04-14,90
2019-04-21,90
2019-04-28,78
2019-05-05,84
2019-05-12,80
2019-05-19,84
2019-05-26,70
2019-06-02,78
2019-06-09,82
2019-06-16,81
2019-06-23,75
2019-06-30,82
2019-07-07,89
2019-07-14,89
2019-07-21,100
2019-07-28,90
2019-08-04,86
2019-08-11,95
2019-08-18,95
2019-08-25,90
2019-09-01,93
2019-09-08,86
2019-09-15,71
2019-09-22,90
2019-09-29,86
2019-10-06,89
2019-10-13,89
2019-10-20,54
2019-10-27,63
2019-11-03,79
2019-11-10,80
2019-11-17,80
2019-11-24,71
2019-12-01,74
2019-12-08,77
2019-12-15,75
2019-12-22,63
2019-12-29,65
2020-01-05,85
2020-01-12,90
2020-01-19,91
2020-01-26,79
2020-02-02,81
2020-02-09,83
2020-02-16,86
2020-02-23,75
2020-03-01,75
2020-03-08,77
2020-03-15,58
2020-03-22,41
2020-03-29,48
2020-04-05,45
2020-04-12,57
2020-04-19,61
2020-04-26,60
2020-05-03,54
2020-05-10,57
2020-05-17,56
2020-05-24,60
2020-05-31,54
2020-06-07,56
2020-06-14,57
2020-06-21,61
2020-06-28,67
2020-07-05,72
2020-07-12,67
2020-07-19,74
2020-07-26,72
2020-08-02,71
2020-08-09,76
2020-08-16,79
2020-08-23,79
2020-08-30,73
2020-09-06,78
2020-09-13,74
2020-09-20,93
2020-09-27,85
2020-10-04,89
2020-10-11,91
2020-10-18,79
2020-10-25,80
2020-11-01,74
2020-11-08,82
2020-11-15,80
2020-11-22,74
2020-11-29,71
2020-12-06,71
2020-12-13,65
2020-12-20,54
2020-12-27,67
2021-01-03,82
2021-01-10,85
2021-01-17,92
2021-01-24,86
2021-01-31,84
2021-02-07,90
2021-02-14,80
2021-02-21,94
2021-02-28,81
2021-03-07,77
2021-03-14,80
2021-03-21,70
2021-03-28,67
2021-04-04,74
2021-04-11,74
2021-04-18,73
2021-04-25,79
2021-05-02,66
2021-05-09,71
2021-05-16,63
2021-05-23,78
2021-05-30,65
2021-06-06,76
2021-06-13,67
2021-06-20,68
2021-06-27,66
2021-07-04,77
2021-07-11,79
2021-07-18,85
2021-07-25,79
2021-08-01,77
2021-08-08,75
2021-08-15,85
2021-08-22,81
2021-08-29,77
2021-09-05,74
2021-09-12,62
2021-09-19,88
2021-09-26,79
2021-10-03,67
2021-10-10,75
2021-10-17,75
2021-10-24,60
2021-10-31,57
2021-11-07,66
2021-11-14,68
2021-11-21,66
2021-11-28,65
2021-12-05,58
2021-12-12,64
2021-12-19,54
2021-12-26,67
2022-01-02,76
2022-01-09,79
2022-01-16,79
2022-01-23,78
2022-01-30,73
2022-02-06,84
2022-02-13,82
2022-02-20,74
2022-02-27,77
2022-03-06,78
2022-03-13,77
2022-03-20,81
2022-03-27,73
2022-04-03,70
2022-04-10,68
2022-04-17,78
2022-04-24,67
2022-05-01,68
2022-05-08,70
2022-05-15,72
2022-05-22,68
2022-05-29,56
2022-06-05,62
2022-06-12,64
2022-06-19,65
2022-06-26,60
2022-07-03,59
2022-07-10,60
2022-07-17,68
2022-07-24,70
2022-07-31,62
2022-08-07,59
2022-08-14,59
2022-08-21,66
2022-08-28,60
2022-09-04,58
2022-09-11,56
2022-09-18,64
2022-09-25,63
2022-10-02,57
2022-10-09,60
2022-10-16,68
2022-10-23,61
2022-10-30,55
2022-11-06,60
2022-11-13,61
2022-11-20,56
2022-11-27,53
2022-12-04,52
2022-12-11,57
2022-12-18,50
2022-12-25,59
2023-01-01,67
2023-01-08,76
2023-01-15,74
2023-01-22,72
2023-01-29,72
2023-02-05,68
2023-02-12,70
2023-02-19,70
2023-02-26,70
2023-03-05,72
2023-03-12,68
2023-03-19,69
2023-03-26,64
2023-04-02,58
2023-04-09,50
