Categoría: Todas las categorías

Semana,Inmueble: (Colombia)
2018-04-15,69
2018-04-22,67
2018-04-29,68
2018-05-06,65
2018-05-13,67
2018-05-20,67
2018-05-27,70
2018-06-03,68
2018-06-10,63
2018-06-17,72
2018-06-24,62
2018-07-01,67
2018-07-08,74
2018-07-15,65
2018-07-22,72
2018-07-29,75
2018-08-05,83
2018-08-12,76
2018-08-19,77
2018-08-26,72
2018-09-02,76
2018-09-09,74
2018-09-16,72
2018-09-23,71
2018-09-30,79
2018-10-07,76
2018-10-14,72
2018-10-21,75
2018-10-28,70
2018-11-04,72
2018-11-11,70
2018-11-18,67
2018-11-25,68
2018-12-02,70
2018-12-09,69
2018-12-16,62
2018-12-23,54
2018-12-30,79
2019-01-06,86
2019-01-13,87
2019-01-20,87
2019-01-27,95
2019-02-03,100
2019-02-10,82
2019-02-17,83
2019-02-24,84
2019-03-03,86
2019-03-10,82
2019-03-17,78
2019-03-24,83
2019-03-31,88
2019-04-07,77
2019-04-14,67
2019-04-21,72
2019-04-28,74
2019-05-05,79
2019-05-12,76
2019-05-19,78
2019-05-26,68
2019-06-02,77
2019-06-09,71
2019-06-16,68
2019-06-23,74
2019-06-30,74
2019-07-07,82
2019-07-14,76
2019-07-21,69
2019-07-28,75
2019-08-04,80
2019-08-11,78
2019-08-18,76
2019-08-25,77
2019-09-01,78
2019-09-08,73
2019-09-15,71
2019-09-22,72
2019-09-29,73
2019-10-06,75
2019-10-13,62
2019-10-20,67
2019-10-27,67
2019-11-03,75
2019-11-10,72
2019-11-17,75
2019-11-24,66
2019-12-01,77
2019-12-08,73
2019-12-15,71
2019-12-22,57
2019-12-29,75
2020-01-05,86
2020-01-12,96
2020-01-19,94
2020-01-26,89
2020-02-02,88
2020-02-09,83
2020-02-16,80
2020-02-23,79
2020-03-01,81
2020-03-08,79
2020-03-15,55
2020-03-22,40
2020-03-29,48
2020-04-05,44
2020-04-12,47
2020-04-19,43
2020-04-26,46
2020-05-03,47
2020-05-10,54
2020-05-17,52
2020-05-24,59
2020-05-31,72
2020-06-07,75
2020-06-14,77
2020-06-21,75
2020-06-28,78
2020-07-05,75
2020-07-12,62
2020-07-19,64
2020-07-26,72
2020-08-02,66
2020-08-09,71
2020-08-16,71
2020-08-23,70
2020-08-30,82
2020-09-06,73
2020-09-13,71
2020-09-20,75
2020-09-27,78
2020-10-04,83
2020-10-11,69
2020-10-18,69
2020-10-25,70
2020-11-01,68
2020-11-08,68
2020-11-15,65
2020-11-22,67
2020-11-29,66
2020-12-06,66
2020-12-13,63
2020-12-20,46
2020-12-27,50
2021-01-03,72
2021-01-10,74
2021-01-17,88
2021-01-24,80
2021-01-31,84
2021-02-07,75
2021-02-14,71
2021-02-21,77
2021-02-28,73
2021-03-07,67
2021-03-14,64
2021-03-21,58
2021-03-28,64
2021-04-04,67
2021-04-11,66
2021-04-18,69
2021-04-25,59
2021-05-02,61
2021-05-09,63
2021-05-16,64
2021-05-23,56
2021-05-30,66
2021-06-06,64
2021-06-13,61
2021-06-20,68
2021-06-27,70
2021-07-04,67
2021-07-11,66
2021-07-18,71
2021-07-25,72
2021-08-01,69
2021-08-08,73
2021-08-15,68
2021-08-22,81
2021-08-29,73
2021-09-05,73
2021-09-12,67
2021-09-19,72
2021-09-26,71
2021-10-03,75
2021-10-10,71
2021-10-17,65
2021-10-24,66
2021-10-31,64
2021-11-07,70
2021-11-14,64
2021-11-21,68
2021-11-28,70
2021-12-05,60
2021-12-12,56
2021-12-19,52
2021-12-26,60
2022-01-02,83
2022-01-09,78
2022-01-16,81
2022-01-23,82
2022-01-30,88
2022-02-06,78
2022-02-13,76
2022-02-20,75
2022-02-27,86
2022-03-06,72
2022-03-13,63
2022-03-20,77
2022-03-27,77
2022-04-03,80
2022-04-10,62
2022-04-17,80
2022-04-24,78
2022-05-01,74
2022-05-08,74
2022-05-15,68
2022-05-22,72
2022-05-29,66
2022-06-05,68
2022-06-12,68
2022-06-19,61
2022-06-26,68
2022-07-03,84
2022-07-10,78
2022-07-17,79
2022-07-24,80
2022-07-31,90
2022-08-07,81
2022-08-14,76
2022-08-21,86
2022-08-28,78
2022-09-04,79
2022-09-11,69
2022-09-18,73
2022-09-25,67
2022-10-02,73
2022-10-09,68
2022-10-16,66
2022-10-23,67
2022-10-30,69
2022-11-06,64
2022-11-13,74
2022-11-20,62
2022-11-27,56
2022-12-04,56
2022-12-11,62
2022-12-18,51
2022-12-25,63
2023-01-01,86
2023-01-08,79
2023-01-15,88
2023-01-22,87
2023-01-29,86
2023-02-05,84
2023-02-12,76
2023-02-19,79
2023-02-26,79
2023-03-05,71
2023-03-12,73
2023-03-19,64
2023-03-26,73
2023-04-02,62
2023-04-09,58
