Categoría: Todas las categorías

Semana,Inmueble: (República Dominicana)
2018-04-15,82
2018-04-22,73
2018-04-29,58
2018-05-06,69
2018-05-13,79
2018-05-20,51
2018-05-27,59
2018-06-03,52
2018-06-10,59
2018-06-17,59
2018-06-24,83
2018-07-01,66
2018-07-08,49
2018-07-15,57
2018-07-22,64
2018-07-29,53
2018-08-05,49
2018-08-12,69
2018-08-19,70
2018-08-26,50
2018-09-02,66
2018-09-09,64
2018-09-16,41
2018-09-23,52
2018-09-30,68
2018-10-07,66
2018-10-14,65
2018-10-21,65
2018-10-28,71
2018-11-04,62
2018-11-11,66
2018-11-18,73
2018-11-25,66
2018-12-02,55
2018-12-09,88
2018-12-16,72
2018-12-23,72
2018-12-30,86
2019-01-06,81
2019-01-13,61
2019-01-20,88
2019-01-27,83
2019-02-03,83
2019-02-10,76
2019-02-17,82
2019-02-24,78
2019-03-03,72
2019-03-10,81
2019-03-17,92
2019-03-24,97
2019-03-31,85
2019-04-07,68
2019-04-14,79
2019-04-21,82
2019-04-28,96
2019-05-05,79
2019-05-12,78
2019-05-19,86
2019-05-26,89
2019-06-02,89
2019-06-09,82
2019-06-16,69
2019-06-23,76
2019-06-30,65
2019-07-07,89
2019-07-14,86
2019-07-21,85
2019-07-28,74
2019-08-04,76
2019-08-11,59
2019-08-18,79
2019-08-25,79
2019-09-01,70
2019-09-08,68
2019-09-15,76
2019-09-22,83
2019-09-29,45
2019-10-06,54
2019-10-13,65
2019-10-20,71
2019-10-27,61
2019-11-03,85
2019-11-10,77
2019-11-17,73
2019-11-24,74
2019-12-01,64
2019-12-08,71
2019-12-15,56
2019-12-22,46
2019-12-29,46
2020-01-05,65
2020-01-12,60
2020-01-19,86
2020-01-26,69
2020-02-02,75
2020-02-09,83
2020-02-16,74
2020-02-23,75
2020-03-01,69
2020-03-08,74
2020-03-15,70
2020-03-22,48
2020-03-29,54
2020-04-05,65
2020-04-12,56
2020-04-19,46
2020-04-26,70
2020-05-03,47
2020-05-10,57
2020-05-17,77
2020-05-24,52
2020-05-31,57
2020-06-07,62
2020-06-14,81
2020-06-21,84
2020-06-28,76
2020-07-05,56
2020-07-12,80
2020-07-19,61
2020-07-26,71
2020-08-02,79
2020-08-09,71
2020-08-16,78
2020-08-23,68
2020-08-30,61
2020-09-06,80
2020-09-13,90
2020-09-20,57
2020-09-27,73
2020-10-04,54
2020-10-11,71
2020-10-18,70
2020-10-25,61
2020-11-01,60
2020-11-08,54
2020-11-15,74
2020-11-22,66
2020-11-29,53
2020-12-06,64
2020-12-13,60
2020-12-20,51
2020-12-27,61
2021-01-03,66
2021-01-10,68
2021-01-17,62
2021-01-24,69
2021-01-31,70
2021-02-07,68
2021-02-14,83
2021-02-21,65
2021-02-28,75
2021-03-07,61
2021-03-14,87
2021-03-21,97
2021-03-28,66
2021-04-04,99
2021-04-11,86
2021-04-18,82
2021-04-25,97
2021-05-02,88
2021-05-09,98
2021-05-16,100
2021-05-23,91
2021-05-30,83
2021-06-06,73
2021-06-13,69
2021-06-20,87
2021-06-27,89
2021-07-04,89
2021-07-11,74
2021-07-18,77
2021-07-25,70
2021-08-01,85
2021-08-08,90
2021-08-15,78
2021-08-22,85
2021-08-29,95
2021-09-05,82
2021-09-12,96
2021-09-19,92
2021-09-26,72
2021-10-03,94
2021-10-10,75
2021-10-17,86
2021-10-24,81
2021-10-31,84
2021-11-07,78
2021-11-14,92
2021-11-21,88
2021-11-28,86
2021-12-05,79
2021-12-12,63
2021-12-19,80
2021-12-26,65
2022-01-02,80
2022-01-09,67
2022-01-16,67
2022-01-23,85
2022-01-30,78
2022-02-06,79
2022-02-13,96
2022-02-20,85
2022-02-27,92
2022-03-06,86
2022-03-13,92
2022-03-20,99
2022-03-27,88
2022-04-03,93
2022-04-10,59
2022-04-17,90
2022-04-24,82
2022-05-01,56
2022-05-08,71
2022-05-15,81
2022-05-22,81
2022-05-29,74
2022-06-05,79
2022-06-12,68
2022-06-19,78
2022-06-26,77
2022-07-03,78
2022-07-10,78
2022-07-17,73
2022-07-24,77
2022-07-31,68
2022-08-07,79
2022-08-14,67
2022-08-21,69
2022-08-28,69
2022-09-04,75
2022-09-11,79
2022-09-18,54
2022-09-25,68
2022-10-02,67
2022-10-09,65
2022-10-16,58
2022-10-23,68
2022-10-30,73
2022-11-06,66
2022-11-13,57
2022-11-20,75
2022-11-27,62
2022-12-04,62
2022-12-11,69
2022-12-18,60
2022-12-25,64
2023-01-01,65
2023-01-08,54
2023-01-15,72
2023-01-22,66
2023-01-29,73
2023-02-05,75
2023-02-12,68
2023-02-19,75
2023-02-26,79
2023-03-05,83
2023-03-12,74
2023-03-19,80
2023-03-26,81
2023-04-02,64
2023-04-09,29
