Categoría: Todas las categorías

Semana,Inmueble: (México)
2018-04-15,73
2018-04-22,69
2018-04-29,66
2018-05-06,69
2018-05-13,71
2018-05-20,74
2018-05-27,67
2018-06-03,72
2018-06-10,62
2018-06-17,65
2018-06-24,64
2018-07-01,57
2018-07-08,67
2018-07-15,71
2018-07-22,69
2018-07-29,71
2018-08-05,68
2018-08-12,73
2018-08-19,71
2018-08-26,69
2018-09-02,67
2018-09-09,69
2018-09-16,69
2018-09-23,73
2018-09-30,67
2018-10-07,70
2018-10-14,74
2018-10-21,65
2018-10-28,65
2018-11-04,67
2018-11-11,66
2018-11-18,54
2018-11-25,62
2018-12-02,54
2018-12-09,57
2018-12-16,51
2018-12-23,51
2018-12-30,60
2019-01-06,66
2019-01-13,70
2019-01-20,82
2019-01-27,83
2019-02-03,75
2019-02-10,81
2019-02-17,80
2019-02-24,92
2019-03-03,100
2019-03-10,84
2019-03-17,82
2019-03-24,78
2019-03-31,77
2019-04-07,76
2019-04-14,74
2019-04-21,83
2019-04-28,87
2019-05-05,94
2019-05-12,88
2019-05-19,84
2019-05-26,82
2019-06-02,76
2019-06-09,69
2019-06-16,79
2019-06-23,74
2019-06-30,76
2019-07-07,77
2019-07-14,77
2019-07-21,78
2019-07-28,77
2019-08-04,76
2019-08-11,82
2019-08-18,77
2019-08-25,72
2019-09-01,74
2019-09-08,71
2019-09-15,65
2019-09-22,75
2019-09-29,68
2019-10-06,71
2019-10-13,74
2019-10-20,67
2019-10-27,64
2019-11-03,73
2019-11-10,63
2019-11-17,63
2019-11-24,64
2019-12-01,59
2019-12-08,61
2019-12-15,56
2019-12-22,49
2019-12-29,53
2020-01-05,77
2020-01-12,76
2020-01-19,73
2020-01-26,71
2020-02-02,64
2020-02-09,70
2020-02-16,78
2020-02-23,71
2020-03-01,72
2020-03-08,61
2020-03-15,50
2020-03-22,48
2020-03-29,48
2020-04-05,44
2020-04-12,50
2020-04-19,47
2020-04-26,45
2020-05-03,50
2020-05-10,54
2020-05-17,60
2020-05-24,52
2020-05-31,57
2020-06-07,62
2020-06-14,64
2020-06-21,65
2020-06-28,56
2020-07-05,67
2020-07-12,74
2020-07-19,73
2020-07-26,67
2020-08-02,64
2020-08-09,64
2020-08-16,64
2020-08-23,61
2020-08-30,60
2020-09-06,61
2020-09-13,55
2020-09-20,60
2020-09-27,55
2020-10-04,54
2020-10-11,64
2020-10-18,62
2020-10-25,56
2020-11-01,56
2020-11-08,56
2020-11-15,56
2020-11-22,61
2020-11-29,53
2020-12-06,52
2020-12-13,50
2020-12-20,46
2020-12-27,50
2021-01-03,62
2021-01-10,58
2021-01-17,59
2021-01-24,61
2021-01-31,57
2021-02-07,61
2021-02-14,62
2021-02-21,61
2021-02-28,60
2021-03-07,60
2021-03-14,58
2021-03-21,60
2021-03-28,60
2021-04-04,64
2021-04-11,62
2021-04-18,69
2021-04-25,66
2021-05-02,58
2021-05-09,62
2021-05-16,65
2021-05-23,64
2021-05-30,60
2021-06-06,58
2021-06-13,61
2021-06-20,66
2021-06-27,62
2021-07-04,62
2021-07-11,62
2021-07-18,65
2021-07-25,63
2021-08-01,60
2021-08-08,63
2021-08-15,65
2021-08-22,62
2021-08-29,59
2021-09-05,62
2021-09-12,55
2021-09-19,64
2021-09-26,60
2021-10-03,64
2021-10-10,62
2021-10-17,61
2021-10-24,57
2021-10-31,58
2021-11-07,54
2021-11-14,58
2021-11-21,60
2021-11-28,61
2021-12-05,60
2021-12-12,55
2021-12-19,46
2021-12-26,52
2022-01-02,59
2022-01-09,62
2022-01-16,62
2022-01-23,64
2022-01-30,61
2022-02-06,62
2022-02-13,67
2022-02-20,69
2022-02-27,70
2022-03-06,66
2022-03-13,70
2022-03-20,68
2022-03-27,64
2022-04-03,64
2022-04-10,60
2022-04-17,67
2022-04-24,64
2022-05-01,62
2022-05-08,62
2022-05-15,63
2022-05-22,62
2022-05-29,60
2022-06-05,63
2022-06-12,60
2022-06-19,61
2022-06-26,54
2022-07-03,62
2022-07-10,65
2022-07-17,61
2022-07-24,58
2022-07-31,65
2022-08-07,72
2022-08-14,64
2022-08-21,64
2022-08-28,61
2022-09-04,57
2022-09-11,49
2022-09-18,60
2022-09-25,57
2022-10-02,55
2022-10-09,56
2022-10-16,58
2022-10-23,57
2022-10-30,52
2022-11-06,60
2022-11-13,57
2022-11-20,45
2022-11-27,48
2022-12-04,50
2022-12-11,49
2022-12-18,46
2022-12-25,47
2023-01-01,56
2023-01-08,59
2023-01-15,64
2023-01-22,67
2023-01-29,65
2023-02-05,63
2023-02-12,62
2023-02-19,67
2023-02-26,63
2023-03-05,65
2023-03-12,63
2023-03-19,58
2023-03-26,63
2023-04-02,53
2023-04-09,32
