Categoría: Todas las categorías

Semana,Inmueble: (Nueva Zelanda)
2018-04-15,75
2018-04-22,80
2018-04-29,70
2018-05-06,73
2018-05-13,77
2018-05-20,84
2018-05-27,77
2018-06-03,75
2018-06-10,73
2018-06-17,74
2018-06-24,71
2018-07-01,75
2018-07-08,75
2018-07-15,75
2018-07-22,79
2018-07-29,84
2018-08-05,76
2018-08-12,76
2018-08-19,72
2018-08-26,78
2018-09-02,81
2018-09-09,72
2018-09-16,80
2018-09-23,81
2018-09-30,90
2018-10-07,80
2018-10-14,77
2018-10-21,83
2018-10-28,82
2018-11-04,76
2018-11-11,89
2018-11-18,86
2018-11-25,77
2018-12-02,74
2018-12-09,68
2018-12-16,62
2018-12-23,61
2018-12-30,68
2019-01-06,82
2019-01-13,88
2019-01-20,90
2019-01-27,92
2019-02-03,92
2019-02-10,87
2019-02-17,82
2019-02-24,89
2019-03-03,79
2019-03-10,74
2019-03-17,70
2019-03-24,83
2019-03-31,74
2019-04-07,73
2019-04-14,71
2019-04-21,76
2019-04-28,73
2019-05-05,76
2019-05-12,75
2019-05-19,71
2019-05-26,69
2019-06-02,67
2019-06-09,67
2019-06-16,71
2019-06-23,70
2019-06-30,72
2019-07-07,74
2019-07-14,77
2019-07-21,71
2019-07-28,73
2019-08-04,73
2019-08-11,68
2019-08-18,75
2019-08-25,73
2019-09-01,73
2019-09-08,73
2019-09-15,71
2019-09-22,71
2019-09-29,77
2019-10-06,82
2019-10-13,72
2019-10-20,70
2019-10-27,78
2019-11-03,82
2019-11-10,78
2019-11-17,81
2019-11-24,68
2019-12-01,74
2019-12-08,67
2019-12-15,64
2019-12-22,58
2019-12-29,67
2020-01-05,85
2020-01-12,85
2020-01-19,83
2020-01-26,84
2020-02-02,82
2020-02-09,82
2020-02-16,82
2020-02-23,77
2020-03-01,78
2020-03-08,79
2020-03-15,58
2020-03-22,36
2020-03-29,40
2020-04-05,47
2020-04-12,50
2020-04-19,53
2020-04-26,63
2020-05-03,67
2020-05-10,69
2020-05-17,78
2020-05-24,80
2020-05-31,80
2020-06-07,87
2020-06-14,76
2020-06-21,78
2020-06-28,79
2020-07-05,79
2020-07-12,82
2020-07-19,81
2020-07-26,87
2020-08-02,77
2020-08-09,68
2020-08-16,78
2020-08-23,82
2020-08-30,81
2020-09-06,89
2020-09-13,84
2020-09-20,85
2020-09-27,87
2020-10-04,91
2020-10-11,83
2020-10-18,89
2020-10-25,94
2020-11-01,83
2020-11-08,100
2020-11-15,96
2020-11-22,92
2020-11-29,81
2020-12-06,83
2020-12-13,76
2020-12-20,59
2020-12-27,73
2021-01-03,73
2021-01-10,96
2021-01-17,95
2021-01-24,96
2021-01-31,97
2021-02-07,99
2021-02-14,88
2021-02-21,92
2021-02-28,88
2021-03-07,83
2021-03-14,82
2021-03-21,91
2021-03-28,73
2021-04-04,75
2021-04-11,74
2021-04-18,76
2021-04-25,86
2021-05-02,77
2021-05-09,82
2021-05-16,85
2021-05-23,72
2021-05-30,72
2021-06-06,74
2021-06-13,71
2021-06-20,73
2021-06-27,67
2021-07-04,70
2021-07-11,73
2021-07-18,73
2021-07-25,70
2021-08-01,72
2021-08-08,71
2021-08-15,57
2021-08-22,53
2021-08-29,63
2021-09-05,71
2021-09-12,67
2021-09-19,67
2021-09-26,73
2021-10-03,74
2021-10-10,77
2021-10-17,77
2021-10-24,74
2021-10-31,70
2021-11-07,73
2021-11-14,70
2021-11-21,68
2021-11-28,69
2021-12-05,67
2021-12-12,66
2021-12-19,57
2021-12-26,61
2022-01-02,69
2022-01-09,81
2022-01-16,77
2022-01-23,73
2022-01-30,75
2022-02-06,82
2022-02-13,72
2022-02-20,72
2022-02-27,72
2022-03-06,72
2022-03-13,71
2022-03-20,70
2022-03-27,63
2022-04-03,68
2022-04-10,58
2022-04-17,65
2022-04-24,63
2022-05-01,65
2022-05-08,58
2022-05-15,58
2022-05-22,58
2022-05-29,60
2022-06-05,56
2022-06-12,56
2022-06-19,57
2022-06-26,55
2022-07-03,54
2022-07-10,57
2022-07-17,59
2022-07-24,58
2022-07-31,58
2022-08-07,55
2022-08-14,58
2022-08-21,58
2022-08-28,65
2022-09-04,59
2022-09-11,62
2022-09-18,57
2022-09-25,58
2022-10-02,59
2022-10-09,58
2022-10-16,60
2022-10-23,58
2022-10-30,58
2022-11-06,55
2022-11-13,57
2022-11-20,52
2022-11-27,52
2022-12-04,52
2022-12-11,51
2022-12-18,43
2022-12-25,44
2023-01-01,56
2023-01-08,59
2023-01-15,59
2023-01-22,57
2023-01-29,55
2023-02-05,55
2023-02-12,49
2023-02-19,58
2023-02-26,54
2023-03-05,55
2023-03-12,55
2023-03-19,57
2023-03-26,53
2023-04-02,50
2023-04-09,51
