Categoría: Todas las categorías

Semana,Inmueble: (El Salvador)
2018-04-15,46
2018-04-22,37
2018-04-29,17
2018-05-06,31
2018-05-13,40
2018-05-20,68
2018-05-27,24
2018-06-03,62
2018-06-10,31
2018-06-17,45
2018-06-24,34
2018-07-01,50
2018-07-08,42
2018-07-15,30
2018-07-22,37
2018-07-29,32
2018-08-05,52
2018-08-12,46
2018-08-19,33
2018-08-26,59
2018-09-02,19
2018-09-09,43
2018-09-16,48
2018-09-23,20
2018-09-30,68
2018-10-07,61
2018-10-14,60
2018-10-21,74
2018-10-28,40
2018-11-04,62
2018-11-11,74
2018-11-18,77
2018-11-25,57
2018-12-02,62
2018-12-09,29
2018-12-16,65
2018-12-23,28
2018-12-30,53
2019-01-06,65
2019-01-13,30
2019-01-20,37
2019-01-27,58
2019-02-03,55
2019-02-10,56
2019-02-17,53
2019-02-24,75
2019-03-03,74
2019-03-10,50
2019-03-17,52
2019-03-24,86
2019-03-31,39
2019-04-07,44
2019-04-14,32
2019-04-21,53
2019-04-28,37
2019-05-05,57
2019-05-12,60
2019-05-19,69
2019-05-26,31
2019-06-02,50
2019-06-09,58
2019-06-16,38
2019-06-23,50
2019-06-30,56
2019-07-07,73
2019-07-14,51
2019-07-21,59
2019-07-28,51
2019-08-04,57
2019-08-11,59
2019-08-18,63
2019-08-25,39
2019-09-01,75
2019-09-08,49
2019-09-15,75
2019-09-22,59
2019-09-29,63
2019-10-06,87
2019-10-13,62
2019-10-20,79
2019-10-27,82
2019-11-03,64
2019-11-10,49
2019-11-17,48
2019-11-24,31
2019-12-01,78
2019-12-08,84
2019-12-15,43
2019-12-22,54
2019-12-29,58
2020-01-05,51
2020-01-12,72
2020-01-19,52
2020-01-26,84
2020-02-02,61
2020-02-09,60
2020-02-16,81
2020-02-23,66
2020-03-01,46
2020-03-08,45
2020-03-15,47
2020-03-22,11
2020-03-29,25
2020-04-05,10
2020-04-12,30
2020-04-19,29
2020-04-26,31
2020-05-03,31
2020-05-10,23
2020-05-17,50
2020-05-24,29
2020-05-31,23
2020-06-07,68
2020-06-14,42
2020-06-21,33
2020-06-28,48
2020-07-05,36
2020-07-12,53
2020-07-19,56
2020-07-26,73
2020-08-02,35
2020-08-09,54
2020-08-16,39
2020-08-23,51
2020-08-30,64
2020-09-06,38
2020-09-13,21
2020-09-20,65
2020-09-27,69
2020-10-04,72
2020-10-11,29
2020-10-18,100
2020-10-25,76
2020-11-01,45
2020-11-08,65
2020-11-15,45
2020-11-22,64
2020-11-29,61
2020-12-06,56
2020-12-13,39
2020-12-20,39
2020-12-27,46
2021-01-03,76
2021-01-10,48
2021-01-17,81
2021-01-24,55
2021-01-31,42
2021-02-07,51
2021-02-14,77
2021-02-21,51
2021-02-28,58
2021-03-07,24
2021-03-14,64
2021-03-21,47
2021-03-28,43
2021-04-04,67
2021-04-11,72
2021-04-18,50
2021-04-25,67
2021-05-02,43
2021-05-09,75
2021-05-16,68
2021-05-23,51
2021-05-30,64
2021-06-06,75
2021-06-13,56
2021-06-20,41
2021-06-27,56
2021-07-04,59
2021-07-11,70
2021-07-18,46
2021-07-25,70
2021-08-01,48
2021-08-08,45
2021-08-15,61
2021-08-22,58
2021-08-29,69
2021-09-05,64
2021-09-12,58
2021-09-19,75
2021-09-26,56
2021-10-03,58
2021-10-10,34
2021-10-17,81
2021-10-24,45
2021-10-31,70
2021-11-07,58
2021-11-14,63
2021-11-21,82
2021-11-28,90
2021-12-05,41
2021-12-12,37
2021-12-19,50
2021-12-26,69
2022-01-02,56
2022-01-09,51
2022-01-16,41
2022-01-23,85
2022-01-30,59
2022-02-06,47
2022-02-13,52
2022-02-20,68
2022-02-27,46
2022-03-06,42
2022-03-13,51
2022-03-20,60
2022-03-27,58
2022-04-03,61
2022-04-10,28
2022-04-17,47
2022-04-24,74
2022-05-01,74
2022-05-08,57
2022-05-15,64
2022-05-22,63
2022-05-29,52
2022-06-05,69
2022-06-12,44
2022-06-19,37
2022-06-26,28
2022-07-03,65
2022-07-10,56
2022-07-17,62
2022-07-24,54
2022-07-31,33
2022-08-07,60
2022-08-14,46
2022-08-21,56
2022-08-28,45
2022-09-04,53
2022-09-11,39
2022-09-18,54
2022-09-25,52
2022-10-02,63
2022-10-09,69
2022-10-16,28
2022-10-23,60
2022-10-30,34
2022-11-06,40
2022-11-13,55
2022-11-20,36
2022-11-27,51
2022-12-04,37
2022-12-11,66
2022-12-18,44
2022-12-25,45
2023-01-01,51
2023-01-08,47
2023-01-15,38
2023-01-22,61
2023-01-29,67
2023-02-05,74
2023-02-12,53
2023-02-19,48
2023-02-26,60
2023-03-05,61
2023-03-12,63
2023-03-19,55
2023-03-26,55
2023-04-02,35
2023-04-09,45
