Categoría: Todas las categorías

Semana,Inmueble: (Estados Unidos)
2018-04-15,79
2018-04-22,79
2018-04-29,78
2018-05-06,80
2018-05-13,73
2018-05-20,71
2018-05-27,76
2018-06-03,80
2018-06-10,83
2018-06-17,76
2018-06-24,81
2018-07-01,81
2018-07-08,84
2018-07-15,81
2018-07-22,81
2018-07-29,80
2018-08-05,79
2018-08-12,78
2018-08-19,78
2018-08-26,75
2018-09-02,74
2018-09-09,64
2018-09-16,70
2018-09-23,68
2018-09-30,68
2018-10-07,65
2018-10-14,69
2018-10-21,65
2018-10-28,64
2018-11-04,64
2018-11-11,61
2018-11-18,53
2018-11-25,61
2018-12-02,59
2018-12-09,59
2018-12-16,63
2018-12-23,59
2018-12-30,71
2019-01-06,76
2019-01-13,70
2019-01-20,75
2019-01-27,72
2019-02-03,74
2019-02-10,72
2019-02-17,76
2019-02-24,71
2019-03-03,75
2019-03-10,75
2019-03-17,73
2019-03-24,77
2019-03-31,79
2019-04-07,77
2019-04-14,71
2019-04-21,71
2019-04-28,74
2019-05-05,72
2019-05-12,73
2019-05-19,73
2019-05-26,74
2019-06-02,77
2019-06-09,77
2019-06-16,80
2019-06-23,77
2019-06-30,78
2019-07-07,78
2019-07-14,80
2019-07-21,82
2019-07-28,83
2019-08-04,80
2019-08-11,81
2019-08-18,84
2019-08-25,72
2019-09-01,72
2019-09-08,73
2019-09-15,76
2019-09-22,72
2019-09-29,74
2019-10-06,67
2019-10-13,68
2019-10-20,70
2019-10-27,65
2019-11-03,70
2019-11-10,64
2019-11-17,64
2019-11-24,55
2019-12-01,62
2019-12-08,62
2019-12-15,58
2019-12-22,59
2019-12-29,73
2020-01-05,75
2020-01-12,75
2020-01-19,78
2020-01-26,73
2020-02-02,72
2020-02-09,73
2020-02-16,76
2020-02-23,73
2020-03-01,73
2020-03-08,66
2020-03-15,57
2020-03-22,60
2020-03-29,62
2020-04-05,67
2020-04-12,66
2020-04-19,70
2020-04-26,69
2020-05-03,74
2020-05-10,77
2020-05-17,76
2020-05-24,79
2020-05-31,80
2020-06-07,87
2020-06-14,87
2020-06-21,89
2020-06-28,90
2020-07-05,93
2020-07-12,91
2020-07-19,100
2020-07-26,93
2020-08-02,87
2020-08-09,92
2020-08-16,92
2020-08-23,86
2020-08-30,85
2020-09-06,81
2020-09-13,81
2020-09-20,81
2020-09-27,77
2020-10-04,81
2020-10-11,81
2020-10-18,83
2020-10-25,74
2020-11-01,63
2020-11-08,77
2020-11-15,74
2020-11-22,68
2020-11-29,73
2020-12-06,70
2020-12-13,65
2020-12-20,66
2020-12-27,75
2021-01-03,82
2021-01-10,82
2021-01-17,85
2021-01-24,86
2021-01-31,87
2021-02-07,83
2021-02-14,83
2021-02-21,87
2021-02-28,88
2021-03-07,81
2021-03-14,81
2021-03-21,85
2021-03-28,85
2021-04-04,88
2021-04-11,86
2021-04-18,85
2021-04-25,85
2021-05-02,87
2021-05-09,86
2021-05-16,86
2021-05-23,86
2021-05-30,87
2021-06-06,87
2021-06-13,86
2021-06-20,84
2021-06-27,81
2021-07-04,87
2021-07-11,86
2021-07-18,89
2021-07-25,80
2021-08-01,83
2021-08-08,81
2021-08-15,85
2021-08-22,85
2021-08-29,82
2021-09-05,82
2021-09-12,81
2021-09-19,80
2021-09-26,83
2021-10-03,80
2021-10-10,81
2021-10-17,82
2021-10-24,82
2021-10-31,84
2021-11-07,81
2021-11-14,76
2021-11-21,68
2021-11-28,73
2021-12-05,73
2021-12-12,71
2021-12-19,65
2021-12-26,75
2022-01-02,86
2022-01-09,86
2022-01-16,80
2022-01-23,81
2022-01-30,80
2022-02-06,87
2022-02-13,83
2022-02-20,87
2022-02-27,85
2022-03-06,84
2022-03-13,84
2022-03-20,86
2022-03-27,86
2022-04-03,88
2022-04-10,80
2022-04-17,82
2022-04-24,84
2022-05-01,80
2022-05-08,79
2022-05-15,77
2022-05-22,78
2022-05-29,77
2022-06-05,78
2022-06-12,75
2022-06-19,78
2022-06-26,79
2022-07-03,82
2022-07-10,84
2022-07-17,86
2022-07-24,81
2022-07-31,81
2022-08-07,73
2022-08-14,79
2022-08-21,80
2022-08-28,78
2022-09-04,73
2022-09-11,72
2022-09-18,70
2022-09-25,68
2022-10-02,68
2022-10-09,67
2022-10-16,67
2022-10-23,67
2022-10-30,69
2022-11-06,63
2022-11-13,60
2022-11-20,55
2022-11-27,63
2022-12-04,61
2022-12-11,57
2022-12-18,53
2022-12-25,63
2023-01-01,76
2023-01-08,69
2023-01-15,71
2023-01-22,72
2023-01-29,72
2023-02-05,73
2023-02-12,68
2023-02-19,73
2023-02-26,75
2023-03-05,72
2023-03-12,73
2023-03-19,74
2023-03-26,74
2023-04-02,73
2023-04-09,59
