Categoría: Todas las categorías

Semana,Inmueble: (Uruguay)
2018-04-15,56
2018-04-22,63
2018-04-29,57
2018-05-06,52
2018-05-13,59
2018-05-20,52
2018-05-27,58
2018-06-03,59
2018-06-10,53
2018-06-17,43
2018-06-24,44
2018-07-01,47
2018-07-08,49
2018-07-15,57
2018-07-22,56
2018-07-29,66
2018-08-05,49
2018-08-12,51
2018-08-19,52
2018-08-26,56
2018-09-02,52
2018-09-09,54
2018-09-16,57
2018-09-23,50
2018-09-30,50
2018-10-07,56
2018-10-14,65
2018-10-21,59
2018-10-28,48
2018-11-04,53
2018-11-11,50
2018-11-18,58
2018-11-25,59
2018-12-02,58
2018-12-09,51
2018-12-16,38
2018-12-23,45
2018-12-30,75
2019-01-06,77
2019-01-13,83
2019-01-20,69
2019-01-27,70
2019-02-03,70
2019-02-10,73
2019-02-17,79
2019-02-24,72
2019-03-03,61
2019-03-10,66
2019-03-17,69
2019-03-24,72
2019-03-31,47
2019-04-07,46
2019-04-14,47
2019-04-21,52
2019-04-28,42
2019-05-05,41
2019-05-12,50
2019-05-19,51
2019-05-26,48
2019-06-02,49
2019-06-09,48
2019-06-16,43
2019-06-23,43
2019-06-30,42
2019-07-07,55
2019-07-14,53
2019-07-21,48
2019-07-28,53
2019-08-04,52
2019-08-11,60
2019-08-18,49
2019-08-25,63
2019-09-01,55
2019-09-08,47
2019-09-15,58
2019-09-22,51
2019-09-29,49
2019-10-06,52
2019-10-13,46
2019-10-20,50
2019-10-27,46
2019-11-03,51
2019-11-10,43
2019-11-17,45
2019-11-24,36
2019-12-01,57
2019-12-08,44
2019-12-15,52
2019-12-22,46
2019-12-29,70
2020-01-05,94
2020-01-12,86
2020-01-19,71
2020-01-26,64
2020-02-02,69
2020-02-09,79
2020-02-16,70
2020-02-23,59
2020-03-01,60
2020-03-08,46
2020-03-15,33
2020-03-22,39
2020-03-29,31
2020-04-05,37
2020-04-12,37
2020-04-19,40
2020-04-26,33
2020-05-03,46
2020-05-10,59
2020-05-17,57
2020-05-24,58
2020-05-31,43
2020-06-07,56
2020-06-14,53
2020-06-21,56
2020-06-28,57
2020-07-05,61
2020-07-12,60
2020-07-19,78
2020-07-26,64
2020-08-02,62
2020-08-09,60
2020-08-16,58
2020-08-23,59
2020-08-30,63
2020-09-06,56
2020-09-13,54
2020-09-20,56
2020-09-27,52
2020-10-04,54
2020-10-11,57
2020-10-18,53
2020-10-25,50
2020-11-01,52
2020-11-08,58
2020-11-15,52
2020-11-22,51
2020-11-29,57
2020-12-06,49
2020-12-13,42
2020-12-20,36
2020-12-27,56
2021-01-03,100
2021-01-10,83
2021-01-17,84
2021-01-24,79
2021-01-31,75
2021-02-07,66
2021-02-14,70
2021-02-21,73
2021-02-28,64
2021-03-07,65
2021-03-14,49
2021-03-21,54
2021-03-28,48
2021-04-04,48
2021-04-11,49
2021-04-18,44
2021-04-25,53
2021-05-02,40
2021-05-09,47
2021-05-16,44
2021-05-23,43
2021-05-30,45
2021-06-06,41
2021-06-13,48
2021-06-20,52
2021-06-27,47
2021-07-04,54
2021-07-11,53
2021-07-18,46
2021-07-25,55
2021-08-01,50
2021-08-08,56
2021-08-15,49
2021-08-22,59
2021-08-29,49
2021-09-05,51
2021-09-12,55
2021-09-19,54
2021-09-26,52
2021-10-03,57
2021-10-10,57
2021-10-17,60
2021-10-24,53
2021-10-31,49
2021-11-07,44
2021-11-14,47
2021-11-21,40
2021-11-28,45
2021-12-05,57
2021-12-12,45
2021-12-19,40
2021-12-26,56
2022-01-02,95
2022-01-09,100
2022-01-16,85
2022-01-23,70
2022-01-30,81
2022-02-06,82
2022-02-13,71
2022-02-20,61
2022-02-27,59
2022-03-06,65
2022-03-13,63
2022-03-20,61
2022-03-27,55
2022-04-03,57
2022-04-10,47
2022-04-17,61
2022-04-24,56
2022-05-01,45
2022-05-08,49
2022-05-15,48
2022-05-22,43
2022-05-29,45
2022-06-05,43
2022-06-12,42
2022-06-19,51
2022-06-26,51
2022-07-03,54
2022-07-10,52
2022-07-17,49
2022-07-24,48
2022-07-31,53
2022-08-07,49
2022-08-14,57
2022-08-21,48
2022-08-28,48
2022-09-04,45
2022-09-11,48
2022-09-18,54
2022-09-25,50
2022-10-02,55
2022-10-09,47
2022-10-16,45
2022-10-23,45
2022-10-30,51
2022-11-06,54
2022-11-13,50
2022-11-20,42
2022-11-27,42
2022-12-04,44
2022-12-11,44
2022-12-18,42
2022-12-25,48
2023-01-01,94
2023-01-08,91
2023-01-15,83
2023-01-22,74
2023-01-29,75
2023-02-05,75
2023-02-12,72
2023-02-19,60
2023-02-26,76
2023-03-05,67
2023-03-12,63
2023-03-19,68
2023-03-26,56
2023-04-02,51
2023-04-09,53
