;;Pais;level_1;date;/g/120ry1nd;isPartial;log;cycle;trend
AR;0;AR;0;2010/01/01;1.111111111;False;0.105360516;-0.320735487;0.426096002
AR;1;AR;1;2010/02/01;1.111111111;False;0.105360516;-0.457762227;0.563122743
AR;2;AR;2;2010/03/01;2.407407407;False;0.878550404;0.183746513;0.694803891
AR;3;AR;3;2010/04/01;3.333333333;False;1.203972804;0.395808318;0.808164487
AR;4;AR;4;2010/05/01;2.962962963;False;1.086189769;0.19289776;0.893292009
AR;5;AR;5;2010/06/01;3.703703704;False;1.30933332;0.362462577;0.946870743
AR;6;AR;6;2010/07/01;2.592592593;False;0.952658376;-0.01614156;0.968799936
AR;7;AR;7;2010/08/01;2.407407407;False;0.878550404;-0.086469477;0.965019881
AR;8;AR;8;2010/09/01;3.518518519;False;1.258040026;0.316838184;0.941201841
AR;9;AR;9;2010/10/01;3.148148148;False;1.14681439;0.245238466;0.901575924
AR;10;AR;10;2010/11/01;1.851851852;False;0.616186139;-0.239466734;0.855652873
AR;11;AR;11;2010/12/01;1.666666667;False;0.510825624;-0.306205115;0.817030739
AR;12;AR;12;2011/01/01;1.111111111;False;0.105360516;-0.689955945;0.795316461
AR;13;AR;13;2011/02/01;2.037037037;False;0.711496319;-0.08351724;0.795013559
AR;14;AR;14;2011/03/01;2.037037037;False;0.711496319;-0.097629969;0.809126288
AR;15;AR;15;2011/04/01;3.148148148;False;1.14681439;0.317547442;0.829266948
AR;16;AR;16;2011/05/01;3.148148148;False;1.14681439;0.301393716;0.845420674
AR;17;AR;17;2011/06/01;2.962962963;False;1.086189769;0.233324711;0.852865058
AR;18;AR;18;2011/07/01;1.666666667;False;0.510825624;-0.341075295;0.851900919
AR;19;AR;19;2011/08/01;3.148148148;False;1.14681439;0.300096567;0.846717824
AR;20;AR;20;2011/09/01;2.222222222;False;0.798507696;-0.037313053;0.835820749
AR;21;AR;21;2011/10/01;2.407407407;False;0.878550404;0.055834122;0.822716282
AR;22;AR;22;2011/11/01;3.148148148;False;1.14681439;0.336525266;0.810289125
AR;23;AR;23;2011/12/01;1.851851852;False;0.616186139;-0.186168409;0.802354548
AR;24;AR;24;2012/01/01;1.296296296;False;0.259511195;-0.548825384;0.808336579
AR;25;AR;25;2012/02/01;1.851851852;False;0.616186139;-0.218370296;0.834556435
AR;26;AR;26;2012/03/01;2.037037037;False;0.711496319;-0.166691927;0.878188246
AR;27;AR;27;2012/04/01;2.962962963;False;1.086189769;0.153423132;0.932766636
AR;28;AR;28;2012/05/01;2.962962963;False;1.086189769;0.097141738;0.989048031
AR;29;AR;29;2012/06/01;3.148148148;False;1.14681439;0.106468484;1.040345907
AR;30;AR;30;2012/07/01;2.407407407;False;0.878550404;-0.203042367;1.081592771
AR;31;AR;31;2012/08/01;2.777777778;False;1.021651248;-0.087844358;1.109495605
AR;32;AR;32;2012/09/01;7.037037037;False;1.951187206;0.833809855;1.117377351
AR;33;AR;33;2012/10/01;4.259259259;False;1.449095262;0.351998385;1.097096878
AR;34;AR;34;2012/11/01;5.37037037;False;1.680896876;0.626486991;1.054409885
AR;35;AR;35;2012/12/01;1.666666667;False;0.510825624;-0.49011309;1.000938713
AR;36;AR;36;2013/01/01;0.925925926;False;-0.076961041;-1.035708193;0.958747152
AR;37;AR;37;2013/02/01;1.666666667;False;0.510825624;-0.430904815;0.941730439
AR;38;AR;38;2013/03/01;2.037037037;False;0.711496319;-0.235025691;0.94652201
AR;39;AR;39;2013/04/01;4.444444444;False;1.491654877;0.529081324;0.962573553
AR;40;AR;40;2013/05/01;3.518518519;False;1.258040026;0.282620365;0.975419661
AR;41;AR;41;2013/06/01;3.888888889;False;1.358123484;0.378710535;0.979412949
AR;42;AR;42;2013/07/01;2.222222222;False;0.798507696;-0.175108676;0.973616372
AR;43;AR;43;2013/08/01;2.407407407;False;0.878550404;-0.084854323;0.963404727
AR;44;AR;44;2013/09/01;2.407407407;False;0.878550404;-0.072683929;0.951234333
AR;45;AR;45;2013/10/01;2.777777778;False;1.021651248;0.083503977;0.938147271
AR;46;AR;46;2013/11/01;2.962962963;False;1.086189769;0.162215548;0.923974221
AR;47;AR;47;2013/12/01;2.777777778;False;1.021651248;0.111713649;0.909937599
AR;48;AR;48;2014/01/01;1.296296296;False;0.259511195;-0.640452215;0.89996341
AR;49;AR;49;2014/02/01;2.777777778;False;1.021651248;0.12181169;0.899839557
AR;50;AR;50;2014/03/01;2.407407407;False;0.878550404;-0.026129333;0.904679737
AR;51;AR;51;2014/04/01;2.592592593;False;0.952658376;0.041030534;0.911627842
AR;52;AR;52;2014/05/01;2.777777778;False;1.021651248;0.104258972;0.917392275
AR;53;AR;53;2014/06/01;2.777777778;False;1.021651248;0.102285965;0.919365282
AR;54;AR;54;2014/07/01;2.222222222;False;0.798507696;-0.118169063;0.916676759
AR;55;AR;55;2014/08/01;2.777777778;False;1.021651248;0.111489881;0.910161366
AR;56;AR;56;2014/09/01;2.592592593;False;0.952658376;0.053974095;0.898684281
AR;57;AR;57;2014/10/01;2.777777778;False;1.021651248;0.138682403;0.882968844
AR;58;AR;58;2014/11/01;2.777777778;False;1.021651248;0.157013281;0.864637967
AR;59;AR;59;2014/12/01;1.666666667;False;0.510825624;-0.336800307;0.847625931
AR;60;AR;60;2015/01/01;2.037037037;False;0.711496319;-0.12698759;0.838483909
AR;61;AR;61;2015/02/01;2.037037037;False;0.711496319;-0.126653414;0.838149733
AR;62;AR;62;2015/03/01;2.592592593;False;0.952658376;0.1072136;0.845444776
AR;63;AR;63;2015/04/01;2.407407407;False;0.878550404;0.021470883;0.857079521
AR;64;AR;64;2015/05/01;2.592592593;False;0.952658376;0.081107032;0.871551344
AR;65;AR;65;2015/06/01;2.592592593;False;0.952658376;0.064942907;0.887715469
AR;66;AR;66;2015/07/01;2.037037037;False;0.711496319;-0.194282584;0.905778904
AR;67;AR;67;2015/08/01;2.777777778;False;1.021651248;0.09462021;0.927031038
AR;68;AR;68;2015/09/01;2.777777778;False;1.021651248;0.072128029;0.949523218
AR;69;AR;69;2015/10/01;2.407407407;False;0.878550404;-0.094333392;0.972883796
AR;70;AR;70;2015/11/01;2.962962963;False;1.086189769;0.088246515;0.997943253
AR;71;AR;71;2015/12/01;2.962962963;False;1.086189769;0.062229917;1.023959852
AR;72;AR;72;2016/01/01;2.222222222;False;0.798507696;-0.253154932;1.051662628
AR;73;AR;73;2016/02/01;2.407407407;False;0.878550404;-0.204267379;1.082817783
AR;74;AR;74;2016/03/01;3.518518519;False;1.258040026;0.143067757;1.114972269
AR;75;AR;75;2016/04/01;5;False;1.609437912;0.46716933;1.142268582
AR;76;AR;76;2016/05/01;3.703703704;False;1.30933332;0.148099639;1.161233681
AR;77;AR;77;2016/06/01;3.148148148;False;1.14681439;-0.02936629;1.176180681
AR;78;AR;78;2016/07/01;2.777777778;False;1.021651248;-0.172239774;1.193891022
AR;79;AR;79;2016/08/01;3.148148148;False;1.14681439;-0.073842318;1.220656708
AR;80;AR;80;2016/09/01;3.333333333;False;1.203972804;-0.055926276;1.25989908
AR;81;AR;81;2016/10/01;2.962962963;False;1.086189769;-0.227619005;1.313808773
AR;82;AR;82;2016/11/01;3.518518519;False;1.258040026;-0.125604292;1.383644318
AR;83;AR;83;2016/12/01;3.703703704;False;1.30933332;-0.157537275;1.466870595
AR;84;AR;84;2017/01/01;3.518518519;False;1.258040026;-0.300819054;1.558859079
AR;85;AR;85;2017/02/01;5;False;1.609437912;-0.042917713;1.652355626
AR;86;AR;86;2017/03/01;12.22222222;False;2.503255788;0.768163351;1.735092438
AR;87;AR;87;2017/04/01;9.444444444;False;2.245426679;0.451340255;1.794086424
AR;88;AR;88;2017/05/01;6.851851852;False;1.924518959;0.095361744;1.829157215
AR;89;AR;89;2017/06/01;6.481481481;False;1.868949108;0.021302329;1.847646779
AR;90;AR;90;2017/07/01;4.074074074;False;1.4046435;-0.453842947;1.858486447
AR;91;AR;91;2017/08/01;5.37037037;False;1.680896876;-0.190065712;1.870962589
AR;92;AR;92;2017/09/01;7.037037037;False;1.951187206;0.064389682;1.886797524
AR;93;AR;93;2017/10/01;6.666666667;False;1.897119985;-0.007425827;1.904545812
AR;94;AR;94;2017/11/01;6.296296296;False;1.839961571;-0.083873602;1.923835173
AR;95;AR;95;2017/12/01;13.7037037;False;2.61766614;0.673496577;1.944169563
AR;96;AR;96;2018/01/01;2.592592593;False;0.952658376;-1.010996668;1.963655044
AR;97;AR;97;2018/02/01;6.111111111;False;1.810108608;-0.181514015;1.991622623
AR;98;AR;98;2018/03/01;13.33333333;False;2.590267165;0.569713806;2.02055336
AR;99;AR;99;2018/04/01;6.666666667;False;1.897119985;-0.142783099;2.039903084
AR;100;AR;100;2018/05/01;8.148148148;False;2.09779068;0.049167828;2.048622852
AR;101;AR;101;2018/06/01;8.703703704;False;2.163748648;0.120464644;2.043284004
AR;102;AR;102;2018/07/01;6.666666667;False;1.897119985;-0.124157358;2.021277343
AR;103;AR;103;2018/08/01;12.59259259;False;2.533108752;0.551107335;1.982001417
AR;104;AR;104;2018/09/01;6.851851852;False;1.924518959;0.001733476;1.922785483
AR;105;AR;105;2018/10/01;6.851851852;False;1.924518959;0.074375037;1.850143922
AR;106;AR;106;2018/11/01;7.962962963;False;2.074801162;0.304181156;1.770620006
AR;107;AR;107;2018/12/01;5.37037037;False;1.680896876;-0.011099714;1.69199659
AR;108;AR;108;2019/01/01;3.703703704;False;1.30933332;-0.317792896;1.627126215
AR;109;AR;109;2019/02/01;2.407407407;False;0.878550404;-0.710126025;1.588676429
AR;110;AR;110;2019/03/01;3.518518519;False;1.258040026;-0.325978202;1.584018228
AR;111;AR;111;2019/04/01;5.740740741;False;1.747588251;0.138901074;1.608687177
AR;112;AR;112;2019/05/01;6.296296296;False;1.839961571;0.187175701;1.65278587
AR;113;AR;113;2019/06/01;4.444444444;False;1.491654877;-0.217077043;1.70873192
AR;114;AR;114;2019/07/01;4.62962963;False;1.532476871;-0.239585662;1.772062533
AR;115;AR;115;2019/08/01;9.259259259;False;2.225624052;0.390927086;1.834696966
AR;116;AR;116;2019/09/01;7.407407407;False;2.002480501;0.11791912;1.884561381
AR;117;AR;117;2019/10/01;18.51851852;False;2.918771232;1.002673841;1.916097391
AR;118;AR;118;2019/11/01;7.407407407;False;2.002480501;0.076768572;1.925711929
AR;119;AR;119;2019/12/01;5.925925926;False;1.779336949;-0.147186208;1.926523157
AR;120;AR;120;2020/01/01;3.148148148;False;1.14681439;-0.786114324;1.932928714
AR;121;AR;121;2020/02/01;4.62962963;False;1.532476871;-0.424396266;1.956873137
AR;122;AR;122;2020/03/01;10.37037037;False;2.338952737;0.341753683;1.997199055
AR;123;AR;123;2020/04/01;4.62962963;False;1.532476871;-0.513198955;2.045675827
AR;124;AR;124;2020/05/01;11.11111111;False;2.407945609;0.308176902;2.099768706
AR;125;AR;125;2020/06/01;9.259259259;False;2.225624052;0.07723442;2.148389632
AR;126;AR;126;2020/07/01;6.481481481;False;1.868949108;-0.316637715;2.185586823
AR;127;AR;127;2020/08/01;16.2962963;False;2.790937861;0.584242121;2.20669574
AR;128;AR;128;2020/09/01;12.96296296;False;2.562096288;0.360321742;2.201774546
AR;129;AR;129;2020/10/01;13.14814815;False;2.576280923;0.405662147;2.170618776
AR;130;AR;130;2020/11/01;8.703703704;False;2.163748648;0.044719323;2.119029325
AR;131;AR;131;2020/12/01;5;False;1.609437912;-0.450130212;2.059568124
AR;132;AR;132;2021/01/01;3.703703704;False;1.30933332;-0.696209107;2.005542427
AR;133;AR;133;2021/02/01;8.518518519;False;2.142242443;0.179485125;1.962757318
AR;134;AR;134;2021/03/01;7.592592593;False;2.027173113;0.101758719;1.925414394
AR;135;AR;135;2021/04/01;6.851851852;False;1.924518959;0.033812287;1.890706672
AR;136;AR;136;2021/05/01;7.777777778;False;2.051270665;0.193747515;1.857523149
AR;137;AR;137;2021/06/01;5.925925926;False;1.779336949;-0.045979409;1.825316358
AR;138;AR;138;2021/07/01;6.111111111;False;1.810108608;0.01334065;1.796767958
AR;139;AR;139;2021/08/01;5.740740741;False;1.747588251;-0.026205033;1.773793284
AR;140;AR;140;2021/09/01;5;False;1.609437912;-0.149092104;1.758530016
AR;141;AR;141;2021/10/01;5.555555556;False;1.714798428;-0.037880656;1.752679084
AR;142;AR;142;2021/11/01;7.222222222;False;1.977162693;0.221706145;1.755456547
AR;143;AR;143;2021/12/01;5.37037037;False;1.680896876;-0.084550247;1.765447124
AR;144;AR;144;2022/01/01;3.703703704;False;1.30933332;-0.475597311;1.784930631
AR;145;AR;145;2022/02/01;5.555555556;False;1.714798428;-0.09997929;1.814777718
AR;146;AR;146;2022/03/01;10;False;2.302585093;0.454652682;1.847932411
AR;147;AR;147;2022/04/01;6.666666667;False;1.897119985;0.021447571;1.875672414
AR;148;AR;148;2022/05/01;7.592592593;False;2.027173113;0.130320136;1.896852977
AR;149;AR;149;2022/06/01;7.222222222;False;1.977162693;0.066475883;1.910686809
AR;150;AR;150;2022/07/01;7.222222222;False;1.977162693;0.058604071;1.918558622
AR;151;AR;151;2022/08/01;5.555555556;True;1.714798428;-0.208162629;1.922961057
BR;152;BR;0;2010/01/01;1.851851852;False;0.616186139;-0.34103372;0.957219859
BR;153;BR;1;2010/02/01;1.851851852;False;0.616186139;-0.42866672;1.044852859
BR;154;BR;2;2010/03/01;5.555555556;False;1.714798428;0.587996465;1.126801963
BR;155;BR;3;2010/04/01;3.703703704;False;1.30933332;0.119094489;1.190238831
BR;156;BR;4;2010/05/01;5.555555556;False;1.714798428;0.482663364;1.232135064
BR;157;BR;5;2010/06/01;3.703703704;False;1.30933332;0.05788615;1.25144717
BR;158;BR;6;2010/07/01;1.851851852;False;0.616186139;-0.638989907;1.255176046
BR;159;BR;7;2010/08/01;5.555555556;False;1.714798428;0.463511067;1.251287361
BR;160;BR;8;2010/09/01;3.703703704;False;1.30933332;0.072236371;1.237096949
BR;161;BR;9;2010/10/01;3.703703704;False;1.30933332;0.091687489;1.217645831
BR;162;BR;10;2010/11/01;3.703703704;False;1.30933332;0.110154355;1.199178965
BR;163;BR;11;2010/12/01;1.851851852;False;0.616186139;-0.573283296;1.189469435
BR;164;BR;12;2011/01/01;1.851851852;False;0.616186139;-0.581940093;1.198126233
BR;165;BR;13;2011/02/01;3.703703704;False;1.30933332;0.084129694;1.225203626
BR;166;BR;14;2011/03/01;3.703703704;False;1.30933332;0.048276439;1.261056881
BR;167;BR;15;2011/04/01;3.703703704;False;1.30933332;0.011889894;1.297443426
BR;168;BR;16;2011/05/01;5.555555556;False;1.714798428;0.38787313;1.326925298
BR;169;BR;17;2011/06/01;5.555555556;False;1.714798428;0.372535731;1.342262698
BR;170;BR;18;2011/07/01;1.851851852;False;0.616186139;-0.726494237;1.342680377
BR;171;BR;19;2011/08/01;5.555555556;False;1.714798428;0.38118641;1.333612018
BR;172;BR;20;2011/09/01;5.555555556;False;1.714798428;0.406415363;1.308383065
BR;173;BR;21;2011/10/01;3.703703704;False;1.30933332;0.04266125;1.26667207
BR;174;BR;22;2011/11/01;5.555555556;False;1.714798428;0.499867255;1.214931173
BR;175;BR;23;2011/12/01;1.851851852;False;0.616186139;-0.544137396;1.160323535
BR;176;BR;24;2012/01/01;1.851851852;False;0.616186139;-0.5021573;1.118343439
BR;177;BR;25;2012/02/01;1.851851852;False;0.616186139;-0.479230072;1.095416212
BR;178;BR;26;2012/03/01;3.703703704;False;1.30933332;0.219735431;1.089597889
BR;179;BR;27;2012/04/01;3.703703704;False;1.30933332;0.218375979;1.090957341
BR;180;BR;28;2012/05/01;3.703703704;False;1.30933332;0.216107626;1.093225694
BR;181;BR;29;2012/06/01;3.703703704;False;1.30933332;0.215559644;1.093773676
BR;182;BR;30;2012/07/01;1.851851852;False;0.616186139;-0.477387666;1.093573806
BR;183;BR;31;2012/08/01;5.555555556;False;1.714798428;0.617607164;1.097191264
BR;184;BR;32;2012/09/01;3.703703704;False;1.30933332;0.208098548;1.101234772
BR;185;BR;33;2012/10/01;3.703703704;False;1.30933332;0.196726818;1.112606501
BR;186;BR;34;2012/11/01;3.703703704;False;1.30933332;0.167656386;1.141676934
BR;187;BR;35;2012/12/01;1.851851852;False;0.616186139;-0.585909192;1.202095332
BR;188;BR;36;2013/01/01;1.851851852;False;0.616186139;-0.69411909;1.31030523
BR;189;BR;37;2013/02/01;1.851851852;False;0.616186139;-0.85679887;1.47298501
BR;190;BR;38;2013/03/01;3.703703704;False;1.30933332;-0.375911083;1.685244402
BR;191;BR;39;2013/04/01;3.703703704;False;1.30933332;-0.618579837;1.927913157
BR;192;BR;40;2013/05/01;3.703703704;False;1.30933332;-0.866222518;2.175555838
BR;193;BR;41;2013/06/01;185.1851852;False;5.221356325;2.82892898;2.392427345
BR;194;BR;42;2013/07/01;40.74074074;False;3.707228593;1.178883054;2.528345538
BR;195;BR;43;2013/08/01;16.66666667;False;2.813410717;0.233133625;2.580277092
BR;196;BR;44;2013/09/01;12.96296296;False;2.562096288;-0.002740443;2.564836731
BR;197;BR;45;2013/10/01;16.66666667;False;2.813410717;0.310885973;2.502524743
BR;198;BR;46;2013/11/01;9.259259259;False;2.225624052;-0.188171688;2.41379574
BR;199;BR;47;2013/12/01;3.703703704;False;1.30933332;-1.014952447;2.324285767
BR;200;BR;48;2014/01/01;3.703703704;False;1.30933332;-0.947161353;2.256494673
BR;201;BR;49;2014/02/01;9.259259259;False;2.225624052;0.009617616;2.216006436
BR;202;BR;50;2014/03/01;9.259259259;False;2.225624052;0.033005044;2.192619008
BR;203;BR;51;2014/04/01;9.259259259;False;2.225624052;0.049333414;2.176290638
BR;204;BR;52;2014/05/01;18.51851852;False;2.918771232;0.761241577;2.157529656
BR;205;BR;53;2014/06/01;12.96296296;False;2.562096288;0.434429672;2.127666617
BR;206;BR;54;2014/07/01;7.407407407;False;2.002480501;-0.088238935;2.090719436
BR;207;BR;55;2014/08/01;5.555555556;False;1.714798428;-0.343148093;2.057946521
BR;208;BR;56;2014/09/01;5.555555556;False;1.714798428;-0.324337205;2.039135633
BR;209;BR;57;2014/10/01;7.407407407;False;2.002480501;-0.035874897;2.038355397
BR;210;BR;58;2014/11/01;9.259259259;False;2.225624052;0.171355234;2.054268818
BR;211;BR;59;2014/12/01;3.703703704;False;1.30933332;-0.775607666;2.084940986
BR;212;BR;60;2015/01/01;5.555555556;False;1.714798428;-0.416494484;2.131292913
BR;213;BR;61;2015/02/01;9.259259259;False;2.225624052;0.044305239;2.181318813
BR;214;BR;62;2015/03/01;44.44444444;False;3.79423997;1.578168641;2.216071329
BR;215;BR;63;2015/04/01;14.81481481;False;2.695627681;0.478286158;2.217341523
BR;216;BR;64;2015/05/01;7.407407407;False;2.002480501;-0.190742767;2.193223267
BR;217;BR;65;2015/06/01;5.555555556;False;1.714798428;-0.444983444;2.159781872
BR;218;BR;66;2015/07/01;3.703703704;False;1.30933332;-0.820570279;2.129903599
BR;219;BR;67;2015/08/01;20.37037037;False;3.014081412;0.905023093;2.10905832
BR;220;BR;68;2015/09/01;7.407407407;False;2.002480501;-0.086559235;2.089039736
BR;221;BR;69;2015/10/01;5.555555556;False;1.714798428;-0.361926838;2.076725266
BR;222;BR;70;2015/11/01;7.407407407;False;2.002480501;-0.075069174;2.077549675
BR;223;BR;71;2015/12/01;7.407407407;False;2.002480501;-0.088435113;2.090915613
BR;224;BR;72;2016/01/01;5.555555556;False;1.714798428;-0.400176152;2.11497458
BR;225;BR;73;2016/02/01;3.703703704;False;1.30933332;-0.837070835;2.146404155
BR;226;BR;74;2016/03/01;44.44444444;False;3.79423997;1.619027655;2.175212314
BR;227;BR;75;2016/04/01;14.81481481;False;2.695627681;0.518171826;2.177455855
BR;228;BR;76;2016/05/01;9.259259259;False;2.225624052;0.069448685;2.156175367
BR;229;BR;77;2016/06/01;5.555555556;False;1.714798428;-0.408249211;2.123047639
BR;230;BR;78;2016/07/01;5.555555556;False;1.714798428;-0.376108508;2.090906937
BR;231;BR;79;2016/08/01;7.407407407;False;2.002480501;-0.063302871;2.065783372
BR;232;BR;80;2016/09/01;9.259259259;False;2.225624052;0.178185469;2.047438583
BR;233;BR;81;2016/10/01;5.555555556;False;1.714798428;-0.31978073;2.034579158
BR;234;BR;82;2016/11/01;9.259259259;False;2.225624052;0.196742607;2.028881444
BR;235;BR;83;2016/12/01;9.259259259;False;2.225624052;0.19893194;2.026692111
BR;236;BR;84;2017/01/01;3.703703704;False;1.30933332;-0.71830355;2.02763687
BR;237;BR;85;2017/02/01;5.555555556;False;1.714798428;-0.319858537;2.034656965
BR;238;BR;86;2017/03/01;12.96296296;False;2.562096288;0.523374374;2.038721915
BR;239;BR;87;2017/04/01;14.81481481;False;2.695627681;0.67015742;2.025470261
BR;240;BR;88;2017/05/01;11.11111111;False;2.407945609;0.418682154;1.989263454
BR;241;BR;89;2017/06/01;5.555555556;False;1.714798428;-0.220833804;1.935632232
BR;242;BR;90;2017/07/01;5.555555556;False;1.714798428;-0.162286943;1.877085371
BR;243;BR;91;2017/08/01;5.555555556;False;1.714798428;-0.107652654;1.822451082
