,,Pais,level_1,date,/g/120ry1nd,isPartial,log,cycle,trend
DO,0,DO,0,2010-01-01,0.0,False,-4.605170185988091,-4.589492051666774,-0.015678134321316595
DO,1,DO,1,2010-02-01,34.0,False,3.5263605246161616,2.918081295030553,0.608279229585609
DO,2,DO,2,2010-03-01,39.0,False,3.6635616461296463,2.507816586831558,1.1557450592980882
DO,3,DO,3,2010-04-01,20.0,False,2.995732273553991,1.3968697646818067,1.5988625088721842
DO,4,DO,4,2010-05-01,53.0,False,3.970291913552122,2.0187202380743035,1.9515716754778183
DO,5,DO,5,2010-06-01,0.0,False,-4.605170185988091,-6.8562640050177,2.2510938190296095
DO,6,DO,6,2010-07-01,32.0,False,3.4657359027997265,0.8974403660563124,2.568295536743414
DO,7,DO,7,2010-08-01,55.0,False,4.007333185232471,1.1475608261476782,2.859772359084793
DO,8,DO,8,2010-09-01,37.0,False,3.6109179126442243,0.513840756690644,3.0970771559535804
DO,9,DO,9,2010-10-01,61.0,False,4.110873864173311,0.8399850531545745,3.270888811018737
DO,10,DO,10,2010-11-01,21.0,False,3.044522437723423,-0.3359277828373135,3.3804502205607365
DO,11,DO,11,2010-12-01,32.0,False,3.4657359027997265,0.026731871053763623,3.439004031745963
DO,12,DO,12,2011-01-01,31.0,False,3.4339872044851463,-0.02020689087502925,3.4541940953601755
DO,13,DO,13,2011-02-01,35.0,False,3.5553480614894135,0.12123826811604799,3.4341097933733655
DO,14,DO,14,2011-03-01,32.0,False,3.4657359027997265,0.07923217655878467,3.386503726240942
DO,15,DO,15,2011-04-01,25.0,False,3.2188758248682006,-0.10227330735204454,3.321149132220245
DO,16,DO,16,2011-05-01,26.0,False,3.258096538021482,0.008956752176884297,3.249139785844598
DO,17,DO,17,2011-06-01,20.0,False,2.995732273553991,-0.1841326329707984,3.1798649065247893
DO,18,DO,18,2011-07-01,12.0,False,2.4849066497880004,-0.6379563430865578,3.122862992874558
DO,19,DO,19,2011-08-01,13.0,False,2.5649493574615367,-0.5196543088299275,3.084603666291464
DO,20,DO,20,2011-09-01,29.0,False,3.367295829986474,0.30637188753151445,3.0609239424549597
DO,21,DO,21,2011-10-01,45.0,False,3.8066624897703196,0.7676625578729874,3.038999931897332
DO,22,DO,22,2011-11-01,23.0,False,3.1354942159291497,0.12438027265275409,3.0111139432763956
DO,23,DO,23,2011-12-01,20.0,False,2.995732273553991,0.013389612339478774,2.982342661214512
DO,24,DO,24,2012-01-01,10.0,False,2.302585092994046,-0.6572506818842103,2.959835774878256
DO,25,DO,25,2012-02-01,26.0,False,3.258096538021482,0.307130404381621,2.950966133639861
DO,26,DO,26,2012-03-01,22.0,False,3.091042453358316,0.1388900445181589,2.952152408840157
DO,27,DO,27,2012-04-01,17.0,False,2.833213344056216,-0.13171876783678504,2.964932111893001
DO,28,DO,28,2012-05-01,12.0,False,2.4849066497880004,-0.5082509384995499,2.9931575882875503
DO,29,DO,29,2012-06-01,25.0,False,3.2188758248682006,0.18038995415251824,3.0384858707156823
DO,30,DO,30,2012-07-01,15.0,False,2.70805020110221,-0.3860529417920717,3.094103142894282
DO,31,DO,31,2012-08-01,15.0,False,2.70805020110221,-0.4481518866738985,3.1562020877761086
DO,32,DO,32,2012-09-01,51.0,False,3.9318256327243257,0.7172844601069381,3.2145411726173876
DO,33,DO,33,2012-10-01,37.0,False,3.6109179126442243,0.3595082460811114,3.251409666563113
DO,34,DO,34,2012-11-01,61.0,False,4.110873864173311,0.8498222844132517,3.2610515797600597
DO,35,DO,35,2012-12-01,20.0,False,2.995732273553991,-0.24797045290236364,3.2437027264563545
DO,36,DO,36,2013-01-01,18.0,False,2.8903717578961645,-0.3233908677441799,3.2137626256403444
DO,37,DO,37,2013-02-01,23.0,False,3.1354942159291497,-0.04600373948951786,3.1814979554186675
DO,38,DO,38,2013-03-01,21.0,False,3.044522437723423,-0.10726310837880204,3.151785546102225
DO,39,DO,39,2013-04-01,24.0,False,3.1780538303479458,0.04931833133751784,3.128735499010428
