Categoría: Todas las categorías

Semana,Manifestación: (Chile)
2018-08-05,4
2018-08-12,3
2018-08-19,3
2018-08-26,3
2018-09-02,3
2018-09-09,4
2018-09-16,1
2018-09-23,2
2018-09-30,3
2018-10-07,2
2018-10-14,3
2018-10-21,2
2018-10-28,2
2018-11-04,3
2018-11-11,5
2018-11-18,7
2018-11-25,5
2018-12-02,3
2018-12-09,3
2018-12-16,4
2018-12-23,2
2018-12-30,1
2019-01-06,2
2019-01-13,2
2019-01-20,3
2019-01-27,2
2019-02-03,1
2019-02-10,<1
2019-02-17,1
2019-02-24,1
2019-03-03,2
2019-03-10,2
2019-03-17,2
2019-03-24,2
2019-03-31,3
2019-04-07,3
2019-04-14,2
2019-04-21,4
2019-04-28,5
2019-05-05,1
2019-05-12,2
2019-05-19,3
2019-05-26,3
2019-06-02,5
2019-06-09,3
2019-06-16,5
2019-06-23,3
2019-06-30,3
2019-07-07,2
2019-07-14,2
2019-07-21,3
2019-07-28,2
2019-08-04,7
2019-08-11,6
2019-08-18,3
2019-08-25,2
2019-09-01,6
2019-09-08,4
2019-09-15,2
2019-09-22,5
2019-09-29,3
2019-10-06,3
2019-10-13,21
2019-10-20,100
2019-10-27,52
2019-11-03,45
2019-11-10,49
2019-11-17,27
2019-11-24,29
2019-12-01,16
2019-12-08,9
2019-12-15,7
2019-12-22,6
2019-12-29,5
2020-01-05,4
2020-01-12,5
2020-01-19,4
2020-01-26,5
2020-02-02,4
2020-02-09,4
2020-02-16,5
2020-02-23,9
2020-03-01,26
2020-03-08,39
2020-03-15,4
2020-03-22,3
2020-03-29,2
2020-04-05,2
2020-04-12,2
2020-04-19,3
2020-04-26,4
2020-05-03,2
2020-05-10,2
2020-05-17,3
2020-05-24,3
2020-05-31,5
2020-06-07,3
2020-06-14,2
2020-06-21,2
2020-06-28,2
2020-07-05,2
2020-07-12,4
2020-07-19,3
2020-07-26,2
2020-08-02,2
2020-08-09,2
2020-08-16,2
2020-08-23,3
2020-08-30,4
2020-09-06,4
2020-09-13,2
2020-09-20,2
2020-09-27,4
2020-10-04,5
2020-10-11,5
2020-10-18,9
2020-10-25,3
2020-11-01,2
2020-11-08,3
2020-11-15,5
2020-11-22,6
2020-11-29,3
2020-12-06,2
2020-12-13,2
2020-12-20,2
2020-12-27,2
2021-01-03,2
2021-01-10,2
2021-01-17,1
2021-01-24,1
2021-01-31,2
2021-02-07,2
2021-02-14,2
2021-02-21,1
2021-02-28,4
2021-03-07,7
2021-03-14,3
2021-03-21,2
2021-03-28,2
2021-04-04,2
2021-04-11,2
2021-04-18,3
2021-04-25,3
2021-05-02,4
2021-05-09,2
2021-05-16,2
2021-05-23,2
2021-05-30,2
2021-06-06,2
2021-06-13,3
2021-06-20,2
2021-06-27,3
2021-07-04,3
2021-07-11,4
2021-07-18,2
2021-07-25,4
2021-08-01,2
2021-08-08,3
2021-08-15,3
2021-08-22,3
2021-08-29,2
2021-09-05,3
2021-09-12,2
2021-09-19,3
2021-09-26,6
2021-10-03,6
2021-10-10,11
2021-10-17,19
2021-10-24,7
2021-10-31,5
2021-11-07,6
2021-11-14,5
2021-11-21,6
2021-11-28,4
2021-12-05,3
2021-12-12,4
2021-12-19,3
2021-12-26,2
2022-01-02,3
2022-01-09,3
2022-01-16,2
2022-01-23,2
2022-01-30,4
2022-02-06,2
2022-02-13,3
2022-02-20,3
2022-02-27,2
2022-03-06,5
2022-03-13,4
2022-03-20,5
2022-03-27,6
2022-04-03,4
2022-04-10,3
2022-04-17,4
2022-04-24,6
2022-05-01,4
2022-05-08,4
2022-05-15,4
2022-05-22,3
2022-05-29,3
2022-06-05,3
2022-06-12,3
2022-06-19,3
2022-06-26,3
2022-07-03,2
2022-07-10,2
2022-07-17,2
2022-07-24,3
2022-07-31,3
2022-08-07,4
2022-08-14,3
2022-08-21,4
2022-08-28,6
2022-09-04,8
2022-09-11,5
2022-09-18,3
2022-09-25,3
2022-10-02,3
2022-10-09,4
2022-10-16,10
2022-10-23,4
2022-10-30,3
2022-11-06,3
2022-11-13,4
2022-11-20,2
2022-11-27,3
2022-12-04,2
2022-12-11,2
2022-12-18,2
2022-12-25,2
2023-01-01,2
2023-01-08,2
2023-01-15,2
2023-01-22,2
2023-01-29,2
2023-02-05,2
2023-02-12,1
2023-02-19,2
2023-02-26,2
2023-03-05,4
2023-03-12,3
2023-03-19,3
2023-03-26,5
2023-04-02,3
2023-04-09,3
2023-04-16,3
2023-04-23,3
2023-04-30,3
2023-05-07,3
2023-05-14,3
2023-05-21,3
2023-05-28,3
2023-06-04,4
2023-06-11,4
2023-06-18,3
2023-06-25,3
2023-07-02,3
2023-07-09,2
2023-07-16,3
2023-07-23,4
