Categoría: Todas las categorías

Semana,Manifestación: (Colombia)
2018-08-05,7
2018-08-12,6
2018-08-19,6
2018-08-26,5
2018-09-02,6
2018-09-09,7
2018-09-16,5
2018-09-23,6
2018-09-30,6
2018-10-07,21
2018-10-14,18
2018-10-21,10
2018-10-28,9
2018-11-04,26
2018-11-11,27
2018-11-18,11
2018-11-25,20
2018-12-02,11
2018-12-09,10
2018-12-16,3
2018-12-23,1
2018-12-30,1
2019-01-06,6
2019-01-13,6
2019-01-20,14
2019-01-27,4
2019-02-03,4
2019-02-10,7
2019-02-17,7
2019-02-24,6
2019-03-03,6
2019-03-10,4
2019-03-17,7
2019-03-24,4
2019-03-31,8
2019-04-07,6
2019-04-14,3
2019-04-21,11
2019-04-28,9
2019-05-05,5
2019-05-12,5
2019-05-19,5
2019-05-26,4
2019-06-02,7
2019-06-09,5
2019-06-16,5
2019-06-23,4
2019-06-30,5
2019-07-07,7
2019-07-14,7
2019-07-21,9
2019-07-28,5
2019-08-04,5
2019-08-11,6
2019-08-18,5
2019-08-25,7
2019-09-01,6
2019-09-08,7
2019-09-15,5
2019-09-22,18
2019-09-29,7
2019-10-06,18
2019-10-13,19
2019-10-20,16
2019-10-27,17
2019-11-03,11
2019-11-10,22
2019-11-17,100
2019-11-24,65
2019-12-01,22
2019-12-08,13
2019-12-15,8
2019-12-22,3
2019-12-29,2
2020-01-05,2
2020-01-12,6
2020-01-19,13
2020-01-26,4
2020-02-02,7
2020-02-09,10
2020-02-16,12
2020-02-23,9
2020-03-01,9
2020-03-08,9
2020-03-15,5
2020-03-22,6
2020-03-29,4
2020-04-05,4
2020-04-12,6
2020-04-19,8
2020-04-26,8
2020-05-03,7
2020-05-10,5
2020-05-17,6
2020-05-24,8
2020-05-31,11
2020-06-07,7
2020-06-14,7
2020-06-21,5
2020-06-28,5
2020-07-05,6
2020-07-12,5
2020-07-19,4
2020-07-26,6
2020-08-02,7
2020-08-09,6
2020-08-16,7
2020-08-23,9
2020-08-30,8
2020-09-06,26
2020-09-13,13
2020-09-20,20
2020-09-27,10
2020-10-04,9
2020-10-11,7
2020-10-18,13
2020-10-25,9
2020-11-01,8
2020-11-08,7
2020-11-15,10
2020-11-22,7
2020-11-29,4
2020-12-06,3
2020-12-13,2
2020-12-20,2
2020-12-27,2
2021-01-03,3
2021-01-10,3
2021-01-17,3
2021-01-24,5
2021-01-31,5
2021-02-07,7
2021-02-14,6
2021-02-21,9
2021-02-28,8
2021-03-07,10
2021-03-14,7
2021-03-21,8
2021-03-28,4
2021-04-04,8
2021-04-11,11
2021-04-18,11
2021-04-25,67
2021-05-02,90
2021-05-09,46
2021-05-16,38
2021-05-23,37
2021-05-30,22
2021-06-06,16
2021-06-13,10
2021-06-20,9
2021-06-27,11
2021-07-04,6
2021-07-11,9
2021-07-18,16
2021-07-25,12
2021-08-01,8
2021-08-08,9
2021-08-15,7
2021-08-22,15
2021-08-29,8
2021-09-05,11
2021-09-12,8
2021-09-19,7
2021-09-26,18
2021-10-03,11
2021-10-10,9
2021-10-17,13
2021-10-24,13
2021-10-31,11
2021-11-07,12
2021-11-14,11
2021-11-21,18
2021-11-28,6
2021-12-05,5
2021-12-12,4
2021-12-19,4
2021-12-26,4
2022-01-02,5
2022-01-09,3
2022-01-16,5
2022-01-23,10
2022-01-30,8
2022-02-06,9
2022-02-13,14
2022-02-20,13
2022-02-27,14
2022-03-06,25
2022-03-13,13
2022-03-20,11
2022-03-27,12
2022-04-03,45
2022-04-10,6
2022-04-17,10
2022-04-24,46
2022-05-01,17
2022-05-08,12
2022-05-15,19
2022-05-22,13
2022-05-29,16
2022-06-05,12
2022-06-12,8
2022-06-19,7
2022-06-26,6
2022-07-03,10
2022-07-10,9
2022-07-17,9
2022-07-24,17
2022-07-31,9
2022-08-07,10
2022-08-14,8
2022-08-21,10
2022-08-28,13
2022-09-04,11
2022-09-11,12
2022-09-18,16
2022-09-25,31
2022-10-02,9
2022-10-09,13
2022-10-16,14
2022-10-23,18
2022-10-30,34
2022-11-06,45
2022-11-13,33
2022-11-20,19
2022-11-27,5
2022-12-04,4
2022-12-11,6
2022-12-18,3
2022-12-25,3
2023-01-01,5
2023-01-08,10
2023-01-15,12
2023-01-22,10
2023-01-29,11
2023-02-05,23
2023-02-12,56
2023-02-19,18
2023-02-26,15
2023-03-05,17
2023-03-12,14
2023-03-19,12
2023-03-26,15
2023-04-02,5
2023-04-09,10
2023-04-16,12
2023-04-23,20
2023-04-30,10
2023-05-07,11
2023-05-14,10
2023-05-21,9
2023-05-28,9
2023-06-04,22
2023-06-11,8
2023-06-18,16
2023-06-25,6
2023-07-02,7
2023-07-09,9
2023-07-16,9
2023-07-23,12
