Categoría: Todas las categorías

Semana,Manifestación: (Haití)
2018-08-05,12
2018-08-12,0
2018-08-19,0
2018-08-26,11
2018-09-02,0
2018-09-09,8
2018-09-16,6
2018-09-23,18
2018-09-30,0
2018-10-07,0
2018-10-14,64
2018-10-21,6
2018-10-28,22
2018-11-04,9
2018-11-11,18
2018-11-18,100
2018-11-25,33
2018-12-02,22
2018-12-09,11
2018-12-16,0
2018-12-23,20
2018-12-30,0
2019-01-06,9
2019-01-13,0
2019-01-20,20
2019-01-27,0
2019-02-03,29
2019-02-10,30
2019-02-17,0
2019-02-24,0
2019-03-03,8
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,7
2019-04-07,24
2019-04-14,12
2019-04-21,0
2019-04-28,7
2019-05-05,0
2019-05-12,11
2019-05-19,0
2019-05-26,0
2019-06-02,32
2019-06-09,93
2019-06-16,30
2019-06-23,18
2019-06-30,17
2019-07-07,7
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,13
2019-09-01,0
2019-09-08,6
2019-09-15,24
2019-09-22,57
2019-09-29,38
2019-10-06,35
2019-10-13,44
2019-10-20,56
2019-10-27,32
2019-11-03,8
2019-11-10,15
2019-11-17,24
2019-11-24,10
2019-12-01,11
2019-12-08,7
2019-12-15,0
2019-12-22,12
2019-12-29,0
2020-01-05,0
2020-01-12,6
2020-01-19,5
2020-01-26,9
2020-02-02,5
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,6
2020-03-08,10
2020-03-15,10
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,13
2020-05-03,12
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,21
2020-06-07,0
2020-06-14,6
2020-06-21,0
2020-06-28,11
2020-07-05,6
2020-07-12,21
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,23
2020-08-16,0
2020-08-23,0
2020-08-30,19
2020-09-06,10
2020-09-13,17
2020-09-20,8
2020-09-27,6
2020-10-04,10
2020-10-11,21
2020-10-18,0
2020-10-25,6
2020-11-01,0
2020-11-08,0
2020-11-15,13
2020-11-22,0
2020-11-29,6
2020-12-06,6
2020-12-13,0
2020-12-20,15
2020-12-27,0
2021-01-03,10
2021-01-10,0
2021-01-17,24
2021-01-24,8
2021-01-31,6
2021-02-07,15
2021-02-14,13
2021-02-21,7
2021-02-28,14
2021-03-07,4
2021-03-14,5
2021-03-21,0
2021-03-28,13
2021-04-04,0
2021-04-11,5
2021-04-18,0
2021-04-25,10
2021-05-02,0
2021-05-09,4
2021-05-16,4
2021-05-23,8
2021-05-30,5
2021-06-06,6
2021-06-13,0
2021-06-20,5
2021-06-27,6
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,5
2021-08-01,8
2021-08-08,16
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,4
2021-09-19,4
2021-09-26,0
2021-10-03,8
2021-10-10,0
2021-10-17,5
2021-10-24,8
2021-10-31,5
2021-11-07,11
2021-11-14,6
2021-11-21,0
2021-11-28,7
2021-12-05,8
2021-12-12,6
2021-12-19,7
2021-12-26,0
2022-01-02,13
2022-01-09,0
2022-01-16,7
2022-01-23,14
2022-01-30,17
2022-02-06,5
2022-02-13,8
2022-02-20,6
2022-02-27,18
2022-03-06,10
2022-03-13,10
2022-03-20,12
2022-03-27,19
2022-04-03,8
2022-04-10,13
2022-04-17,9
2022-04-24,10
2022-05-01,5
2022-05-08,14
2022-05-15,12
2022-05-22,9
2022-05-29,5
2022-06-05,16
2022-06-12,7
2022-06-19,15
2022-06-26,19
2022-07-03,12
2022-07-10,7
2022-07-17,3
2022-07-24,13
2022-07-31,0
2022-08-07,3
2022-08-14,6
2022-08-21,22
2022-08-28,8
2022-09-04,12
2022-09-11,18
2022-09-18,11
2022-09-25,14
2022-10-02,23
2022-10-09,3
2022-10-16,6
2022-10-23,5
2022-10-30,3
2022-11-06,0
2022-11-13,7
2022-11-20,0
2022-11-27,5
2022-12-04,5
2022-12-11,9
2022-12-18,6
2022-12-25,0
2023-01-01,6
2023-01-08,5
2023-01-15,8
2023-01-22,6
2023-01-29,9
2023-02-05,6
2023-02-12,5
2023-02-19,0
2023-02-26,8
2023-03-05,8
2023-03-12,9
2023-03-19,9
2023-03-26,9
2023-04-02,6
2023-04-09,5
2023-04-16,5
2023-04-23,10
2023-04-30,5
2023-05-07,0
2023-05-14,4
2023-05-21,17
2023-05-28,8
2023-06-04,4
2023-06-11,7
2023-06-18,9
2023-06-25,5
2023-07-02,6
2023-07-09,7
2023-07-16,8
2023-07-23,7
