Categoría: Todas las categorías

Semana,Manifestación: (Israel)
2018-08-05,8
2018-08-12,3
2018-08-19,1
2018-08-26,4
2018-09-02,1
2018-09-09,1
2018-09-16,2
2018-09-23,1
2018-09-30,2
2018-10-07,2
2018-10-14,1
2018-10-21,1
2018-10-28,3
2018-11-04,1
2018-11-11,4
2018-11-18,2
2018-11-25,3
2018-12-02,6
2018-12-09,5
2018-12-16,4
2018-12-23,1
2018-12-30,2
2019-01-06,1
2019-01-13,1
2019-01-20,1
2019-01-27,11
2019-02-03,2
2019-02-10,1
2019-02-17,1
2019-02-24,1
2019-03-03,2
2019-03-10,2
2019-03-17,1
2019-03-24,1
2019-03-31,2
2019-04-07,1
2019-04-14,<1
2019-04-21,1
2019-04-28,2
2019-05-05,1
2019-05-12,2
2019-05-19,19
2019-05-26,4
2019-06-02,2
2019-06-09,2
2019-06-16,1
2019-06-23,1
2019-06-30,59
2019-07-07,21
2019-07-14,12
2019-07-21,3
2019-07-28,3
2019-08-04,2
2019-08-11,1
2019-08-18,2
2019-08-25,2
2019-09-01,2
2019-09-08,1
2019-09-15,2
2019-09-22,2
2019-09-29,4
2019-10-06,3
2019-10-13,3
2019-10-20,5
2019-10-27,4
2019-11-03,3
2019-11-10,2
2019-11-17,6
2019-11-24,14
2019-12-01,2
2019-12-08,2
2019-12-15,2
2019-12-22,2
2019-12-29,3
2020-01-05,1
2020-01-12,3
2020-01-19,1
2020-01-26,3
2020-02-02,3
2020-02-09,1
2020-02-16,1
2020-02-23,1
2020-03-01,1
2020-03-08,1
2020-03-15,2
2020-03-22,3
2020-03-29,1
2020-04-05,1
2020-04-12,3
2020-04-19,5
2020-04-26,5
2020-05-03,3
2020-05-10,3
2020-05-17,3
2020-05-24,3
2020-05-31,9
2020-06-07,4
2020-06-14,2
2020-06-21,5
2020-06-28,4
2020-07-05,9
2020-07-12,13
2020-07-19,15
2020-07-26,14
2020-08-02,8
2020-08-09,5
2020-08-16,8
2020-08-23,6
2020-08-30,3
2020-09-06,4
2020-09-13,5
2020-09-20,10
2020-09-27,13
2020-10-04,10
2020-10-11,8
2020-10-18,4
2020-10-25,4
2020-11-01,3
2020-11-08,2
2020-11-15,3
2020-11-22,3
2020-11-29,2
2020-12-06,2
2020-12-13,1
2020-12-20,3
2020-12-27,4
2021-01-03,4
2021-01-10,3
2021-01-17,4
2021-01-24,4
2021-01-31,4
2021-02-07,2
2021-02-14,2
2021-02-21,1
2021-02-28,3
2021-03-07,2
2021-03-14,3
2021-03-21,1
2021-03-28,1
2021-04-04,1
2021-04-11,2
2021-04-18,5
2021-04-25,2
2021-05-02,2
2021-05-09,9
2021-05-16,4
2021-05-23,2
2021-05-30,3
2021-06-06,2
2021-06-13,1
2021-06-20,<1
2021-06-27,2
2021-07-04,1
2021-07-11,1
2021-07-18,3
2021-07-25,9
2021-08-01,2
2021-08-08,2
2021-08-15,2
2021-08-22,2
2021-08-29,1
2021-09-05,1
2021-09-12,1
2021-09-19,3
2021-09-26,9
2021-10-03,8
2021-10-10,3
2021-10-17,3
2021-10-24,4
2021-10-31,5
2021-11-07,5
2021-11-14,3
2021-11-21,3
2021-11-28,1
2021-12-05,5
2021-12-12,5
2021-12-19,3
2021-12-26,2
2022-01-02,4
2022-01-09,4
2022-01-16,4
2022-01-23,3
2022-01-30,3
2022-02-06,4
2022-02-13,8
2022-02-20,6
2022-02-27,5
2022-03-06,10
2022-03-13,2
2022-03-20,2
2022-03-27,4
2022-04-03,6
2022-04-10,1
2022-04-17,2
2022-04-24,2
2022-05-01,2
2022-05-08,4
2022-05-15,4
2022-05-22,4
2022-05-29,6
2022-06-05,2
2022-06-12,4
2022-06-19,3
2022-06-26,3
2022-07-03,2
2022-07-10,1
2022-07-17,1
2022-07-24,5
2022-07-31,2
2022-08-07,2
2022-08-14,3
2022-08-21,1
2022-08-28,2
2022-09-04,2
2022-09-11,2
2022-09-18,2
2022-09-25,2
2022-10-02,2
2022-10-09,2
2022-10-16,1
2022-10-23,3
2022-10-30,2
2022-11-06,1
2022-11-13,2
2022-11-20,2
2022-11-27,2
2022-12-04,2
2022-12-11,4
2022-12-18,2
2022-12-25,4
2023-01-01,9
2023-01-08,43
2023-01-15,43
2023-01-22,33
2023-01-29,21
2023-02-05,24
2023-02-12,61
2023-02-19,50
2023-02-26,79
2023-03-05,68
2023-03-12,57
2023-03-19,77
2023-03-26,100
2023-04-02,22
2023-04-09,19
2023-04-16,21
2023-04-23,71
2023-04-30,28
2023-05-07,9
2023-05-14,14
2023-05-21,11
2023-05-28,11
2023-06-04,10
2023-06-11,11
2023-06-18,13
2023-06-25,11
2023-07-02,31
2023-07-09,59
2023-07-16,68
2023-07-23,70
