Categoría: Todas las categorías

Semana,Manifestación: (México)
2018-08-05,7
2018-08-12,9
2018-08-19,11
2018-08-26,14
2018-09-02,18
2018-09-09,16
2018-09-16,14
2018-09-23,15
2018-09-30,29
2018-10-07,12
2018-10-14,14
2018-10-21,11
2018-10-28,10
2018-11-04,12
2018-11-11,14
2018-11-18,13
2018-11-25,51
2018-12-02,40
2018-12-09,13
2018-12-16,12
2018-12-23,8
2018-12-30,7
2019-01-06,10
2019-01-13,10
2019-01-20,9
2019-01-27,9
2019-02-03,9
2019-02-10,9
2019-02-17,11
2019-02-24,10
2019-03-03,12
2019-03-10,13
2019-03-17,11
2019-03-24,12
2019-03-31,17
2019-04-07,14
2019-04-14,6
2019-04-21,8
2019-04-28,14
2019-05-05,26
2019-05-12,10
2019-05-19,11
2019-05-26,12
2019-06-02,19
2019-06-09,11
2019-06-16,11
2019-06-23,10
2019-06-30,21
2019-07-07,8
2019-07-14,6
2019-07-21,7
2019-07-28,8
2019-08-04,11
2019-08-11,29
2019-08-18,37
2019-08-25,17
2019-09-01,21
2019-09-08,14
2019-09-15,15
2019-09-22,18
2019-09-29,43
2019-10-06,33
2019-10-13,16
2019-10-20,20
2019-10-27,16
2019-11-03,13
2019-11-10,29
2019-11-17,22
2019-11-24,41
2019-12-01,27
2019-12-08,11
2019-12-15,8
2019-12-22,4
2019-12-29,4
2020-01-05,8
2020-01-12,12
2020-01-19,11
2020-01-26,11
2020-02-02,10
2020-02-09,15
2020-02-16,27
2020-02-23,21
2020-03-01,36
2020-03-08,100
2020-03-15,10
2020-03-22,13
2020-03-29,14
2020-04-05,8
2020-04-12,10
2020-04-19,15
2020-04-26,16
2020-05-03,15
2020-05-10,17
2020-05-17,15
2020-05-24,18
2020-05-31,48
2020-06-07,26
2020-06-14,14
2020-06-21,9
2020-06-28,9
2020-07-05,8
2020-07-12,6
2020-07-19,7
2020-07-26,9
2020-08-02,7
2020-08-09,7
2020-08-16,9
2020-08-23,15
2020-08-30,18
2020-09-06,20
2020-09-13,16
2020-09-20,24
2020-09-27,37
2020-10-04,25
2020-10-11,17
2020-10-18,18
2020-10-25,18
2020-11-01,14
2020-11-08,19
2020-11-15,16
2020-11-22,18
2020-11-29,16
2020-12-06,13
2020-12-13,12
2020-12-20,6
2020-12-27,4
2021-01-03,8
2021-01-10,13
2021-01-17,22
2021-01-24,11
2021-01-31,13
2021-02-07,13
2021-02-14,15
2021-02-21,20
2021-02-28,23
2021-03-07,55
2021-03-14,16
2021-03-21,16
2021-03-28,9
2021-04-04,9
2021-04-11,15
2021-04-18,15
2021-04-25,15
2021-05-02,24
2021-05-09,14
2021-05-16,15
2021-05-23,14
2021-05-30,16
2021-06-06,18
2021-06-13,14
2021-06-20,10
2021-06-27,11
2021-07-04,9
2021-07-11,10
2021-07-18,8
2021-07-25,11
2021-08-01,7
2021-08-08,10
2021-08-15,8
2021-08-22,10
2021-08-29,13
2021-09-05,16
2021-09-12,15
2021-09-19,16
2021-09-26,37
2021-10-03,33
2021-10-10,30
2021-10-17,23
2021-10-24,23
2021-10-31,21
2021-11-07,26
2021-11-14,21
2021-11-21,30
2021-11-28,19
2021-12-05,22
2021-12-12,19
2021-12-19,11
2021-12-26,10
2022-01-02,13
2022-01-09,17
2022-01-16,17
2022-01-23,17
2022-01-30,18
2022-02-06,19
2022-02-13,23
2022-02-20,25
2022-02-27,24
2022-03-06,34
2022-03-13,28
2022-03-20,27
2022-03-27,26
2022-04-03,30
2022-04-10,13
2022-04-17,16
2022-04-24,25
2022-05-01,22
2022-05-08,21
2022-05-15,21
2022-05-22,24
2022-05-29,37
2022-06-05,20
2022-06-12,21
2022-06-19,16
2022-06-26,14
2022-07-03,12
2022-07-10,12
2022-07-17,10
2022-07-24,10
2022-07-31,10
2022-08-07,12
2022-08-14,13
2022-08-21,14
2022-08-28,18
2022-09-04,16
2022-09-11,21
2022-09-18,28
2022-09-25,31
2022-10-02,22
2022-10-09,21
2022-10-16,20
2022-10-23,21
2022-10-30,15
2022-11-06,25
2022-11-13,26
2022-11-20,21
2022-11-27,20
2022-12-04,19
2022-12-11,12
2022-12-18,7
2022-12-25,6
2023-01-01,10
2023-01-08,16
2023-01-15,19
2023-01-22,16
2023-01-29,18
2023-02-05,16
2023-02-12,17
2023-02-19,23
2023-02-26,27
2023-03-05,30
2023-03-12,23
2023-03-19,21
2023-03-26,28
2023-04-02,8
2023-04-09,13
2023-04-16,22
2023-04-23,19
2023-04-30,16
2023-05-07,16
2023-05-14,16
2023-05-21,17
2023-05-28,19
2023-06-04,20
2023-06-11,19
2023-06-18,17
2023-06-25,22
2023-07-02,13
2023-07-09,13
2023-07-16,11
2023-07-23,9
