Categoría: Todas las categorías

Semana,Manifestación: (Panamá)
2018-08-05,9
2018-08-12,10
2018-08-19,8
2018-08-26,0
2018-09-02,0
2018-09-09,10
2018-09-16,22
2018-09-23,18
2018-09-30,9
2018-10-07,10
2018-10-14,15
2018-10-21,14
2018-10-28,5
2018-11-04,8
2018-11-11,9
2018-11-18,0
2018-11-25,20
2018-12-02,9
2018-12-09,8
2018-12-16,12
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,9
2019-01-20,21
2019-01-27,0
2019-02-03,0
2019-02-10,6
2019-02-17,11
2019-02-24,0
2019-03-03,18
2019-03-10,0
2019-03-17,14
2019-03-24,7
2019-03-31,0
2019-04-07,6
2019-04-14,12
2019-04-21,21
2019-04-28,24
2019-05-05,25
2019-05-12,33
2019-05-19,0
2019-05-26,18
2019-06-02,8
2019-06-09,13
2019-06-16,20
2019-06-23,24
2019-06-30,11
2019-07-07,19
2019-07-14,11
2019-07-21,14
2019-07-28,10
2019-08-04,7
2019-08-11,12
2019-08-18,12
2019-08-25,0
2019-09-01,7
2019-09-08,11
2019-09-15,26
2019-09-22,27
2019-09-29,14
2019-10-06,8
2019-10-13,12
2019-10-20,42
2019-10-27,55
2019-11-03,28
2019-11-10,17
2019-11-17,43
2019-11-24,24
2019-12-01,18
2019-12-08,18
2019-12-15,6
2019-12-22,0
2019-12-29,0
2020-01-05,12
2020-01-12,6
2020-01-19,11
2020-01-26,7
2020-02-02,15
2020-02-09,12
2020-02-16,8
2020-02-23,12
2020-03-01,15
2020-03-08,25
2020-03-15,18
2020-03-22,22
2020-03-29,16
2020-04-05,20
2020-04-12,16
2020-04-19,18
2020-04-26,20
2020-05-03,6
2020-05-10,16
2020-05-17,12
2020-05-24,13
2020-05-31,47
2020-06-07,25
2020-06-14,16
2020-06-21,14
2020-06-28,9
2020-07-05,15
2020-07-12,12
2020-07-19,22
2020-07-26,9
2020-08-02,13
2020-08-09,22
2020-08-16,19
2020-08-23,27
2020-08-30,17
2020-09-06,19
2020-09-13,15
2020-09-20,19
2020-09-27,17
2020-10-04,34
2020-10-11,18
2020-10-18,23
2020-10-25,14
2020-11-01,23
2020-11-08,11
2020-11-15,34
2020-11-22,28
2020-11-29,15
2020-12-06,30
2020-12-13,27
2020-12-20,8
2020-12-27,7
2021-01-03,16
2021-01-10,0
2021-01-17,8
2021-01-24,16
2021-01-31,15
2021-02-07,5
2021-02-14,21
2021-02-21,13
2021-02-28,9
2021-03-07,23
2021-03-14,14
2021-03-21,26
2021-03-28,25
2021-04-04,16
2021-04-11,15
2021-04-18,29
2021-04-25,38
2021-05-02,48
2021-05-09,22
2021-05-16,17
2021-05-23,28
2021-05-30,21
2021-06-06,21
2021-06-13,23
2021-06-20,15
2021-06-27,23
2021-07-04,25
2021-07-11,25
2021-07-18,22
2021-07-25,26
2021-08-01,33
2021-08-08,30
2021-08-15,7
2021-08-22,31
2021-08-29,15
2021-09-05,12
2021-09-12,39
2021-09-19,53
2021-09-26,72
2021-10-03,82
2021-10-10,67
2021-10-17,61
2021-10-24,44
2021-10-31,22
2021-11-07,44
2021-11-14,25
2021-11-21,36
2021-11-28,30
2021-12-05,23
2021-12-12,29
2021-12-19,16
2021-12-26,17
2022-01-02,0
2022-01-09,15
2022-01-16,8
2022-01-23,11
2022-01-30,18
2022-02-06,15
2022-02-13,14
2022-02-20,31
2022-02-27,28
2022-03-06,18
2022-03-13,23
2022-03-20,29
2022-03-27,33
2022-04-03,29
2022-04-10,25
2022-04-17,41
2022-04-24,19
2022-05-01,46
2022-05-08,41
2022-05-15,30
2022-05-22,22
2022-05-29,27
2022-06-05,22
2022-06-12,18
2022-06-19,21
2022-06-26,44
2022-07-03,48
2022-07-10,100
2022-07-17,67
2022-07-24,36
2022-07-31,29
2022-08-07,38
2022-08-14,24
2022-08-21,26
2022-08-28,33
2022-09-04,26
2022-09-11,30
2022-09-18,29
2022-09-25,35
2022-10-02,21
2022-10-09,15
2022-10-16,32
2022-10-23,26
2022-10-30,21
2022-11-06,28
2022-11-13,41
2022-11-20,32
2022-11-27,20
2022-12-04,15
2022-12-11,12
2022-12-18,16
2022-12-25,15
2023-01-01,9
2023-01-08,15
2023-01-15,18
2023-01-22,20
2023-01-29,13
2023-02-05,9
2023-02-12,14
2023-02-19,14
2023-02-26,11
2023-03-05,4
2023-03-12,9
2023-03-19,25
2023-03-26,27
2023-04-02,27
2023-04-09,19
2023-04-16,28
2023-04-23,30
2023-04-30,20
2023-05-07,26
2023-05-14,25
2023-05-21,30
2023-05-28,19
2023-06-04,14
2023-06-11,23
2023-06-18,27
2023-06-25,30
2023-07-02,28
2023-07-09,29
2023-07-16,9
2023-07-23,19
