Categoría: Todas las categorías

Semana,Manifestación: (Perú)
2018-08-05,4
2018-08-12,7
2018-08-19,7
2018-08-26,8
2018-09-02,8
2018-09-09,8
2018-09-16,7
2018-09-23,6
2018-09-30,6
2018-10-07,6
2018-10-14,7
2018-10-21,7
2018-10-28,4
2018-11-04,5
2018-11-11,6
2018-11-18,6
2018-11-25,6
2018-12-02,6
2018-12-09,4
2018-12-16,2
2018-12-23,2
2018-12-30,10
2019-01-06,5
2019-01-13,4
2019-01-20,5
2019-01-27,1
2019-02-03,1
2019-02-10,2
2019-02-17,1
2019-02-24,1
2019-03-03,2
2019-03-10,4
2019-03-17,5
2019-03-24,4
2019-03-31,6
2019-04-07,6
2019-04-14,5
2019-04-21,7
2019-04-28,7
2019-05-05,5
2019-05-12,5
2019-05-19,7
2019-05-26,7
2019-06-02,7
2019-06-09,6
2019-06-16,7
2019-06-23,8
2019-06-30,9
2019-07-07,9
2019-07-14,9
2019-07-21,6
2019-07-28,3
2019-08-04,4
2019-08-11,8
2019-08-18,11
2019-08-25,6
2019-09-01,11
2019-09-08,6
2019-09-15,8
2019-09-22,9
2019-09-29,10
2019-10-06,9
2019-10-13,6
2019-10-20,11
2019-10-27,7
2019-11-03,6
2019-11-10,12
2019-11-17,9
2019-11-24,11
2019-12-01,6
2019-12-08,6
2019-12-15,3
2019-12-22,2
2019-12-29,1
2020-01-05,4
2020-01-12,2
2020-01-19,3
2020-01-26,3
2020-02-02,2
2020-02-09,2
2020-02-16,2
2020-02-23,4
2020-03-01,4
2020-03-08,5
2020-03-15,2
2020-03-22,2
2020-03-29,3
2020-04-05,3
2020-04-12,5
2020-04-19,5
2020-04-26,6
2020-05-03,6
2020-05-10,5
2020-05-17,6
2020-05-24,9
2020-05-31,12
2020-06-07,8
2020-06-14,7
2020-06-21,10
2020-06-28,72
2020-07-05,37
2020-07-12,25
2020-07-19,23
2020-07-26,7
2020-08-02,8
2020-08-09,7
2020-08-16,8
2020-08-23,7
2020-08-30,7
2020-09-06,5
2020-09-13,7
2020-09-20,7
2020-09-27,11
2020-10-04,8
2020-10-11,6
2020-10-18,7
2020-10-25,6
2020-11-01,6
2020-11-08,61
2020-11-15,89
2020-11-22,17
2020-11-29,17
2020-12-06,17
2020-12-13,12
2020-12-20,6
2020-12-27,4
2021-01-03,4
2021-01-10,2
2021-01-17,2
2021-01-24,11
2021-01-31,8
2021-02-07,2
2021-02-14,5
2021-02-21,4
2021-02-28,4
2021-03-07,5
2021-03-14,7
2021-03-21,7
2021-03-28,7
2021-04-04,7
2021-04-11,9
2021-04-18,7
2021-04-25,9
2021-05-02,11
2021-05-09,7
2021-05-16,8
2021-05-23,11
2021-05-30,11
2021-06-06,14
2021-06-13,100
2021-06-20,51
2021-06-27,34
2021-07-04,15
2021-07-11,32
2021-07-18,18
2021-07-25,10
2021-08-01,9
2021-08-08,54
2021-08-15,24
2021-08-22,17
2021-08-29,23
2021-09-05,16
2021-09-12,12
2021-09-19,34
2021-09-26,47
2021-10-03,52
2021-10-10,19
2021-10-17,64
2021-10-24,30
2021-10-31,16
2021-11-07,20
2021-11-14,62
2021-11-21,45
2021-11-28,60
2021-12-05,40
2021-12-12,39
2021-12-19,13
2021-12-26,6
2022-01-02,5
2022-01-09,6
2022-01-16,5
2022-01-23,7
2022-01-30,7
2022-02-06,7
2022-02-13,8
2022-02-20,10
2022-02-27,12
2022-03-06,11
2022-03-13,14
2022-03-20,16
2022-03-27,20
2022-04-03,28
2022-04-10,18
2022-04-17,19
2022-04-24,20
2022-05-01,18
2022-05-08,17
2022-05-15,13
2022-05-22,17
2022-05-29,16
2022-06-05,16
2022-06-12,18
2022-06-19,22
2022-06-26,24
2022-07-03,21
2022-07-10,28
2022-07-17,24
2022-07-24,10
2022-07-31,10
2022-08-07,20
2022-08-14,19
2022-08-21,19
2022-08-28,13
2022-09-04,14
2022-09-11,13
2022-09-18,12
2022-09-25,12
2022-10-02,11
2022-10-09,9
2022-10-16,13
2022-10-23,13
2022-10-30,12
2022-11-06,17
2022-11-13,12
2022-11-20,10
2022-11-27,9
2022-12-04,10
2022-12-11,35
2022-12-18,10
2022-12-25,6
2023-01-01,9
2023-01-08,15
2023-01-15,46
2023-01-22,41
2023-01-29,34
2023-02-05,17
2023-02-12,8
2023-02-19,7
2023-02-26,7
2023-03-05,7
2023-03-12,6
2023-03-19,10
2023-03-26,13
2023-04-02,10
2023-04-09,11
2023-04-16,12
2023-04-23,11
2023-04-30,10
2023-05-07,10
2023-05-14,10
2023-05-21,13
2023-05-28,12
2023-06-04,12
2023-06-11,14
2023-06-18,17
2023-06-25,18
2023-07-02,20
2023-07-09,22
2023-07-16,25
2023-07-23,10
