Categoría: Todas las categorías

Semana,Manifestación: (República Dominicana)
2018-08-05,21
2018-08-12,34
2018-08-19,7
2018-08-26,21
2018-09-02,20
2018-09-09,34
2018-09-16,22
2018-09-23,28
2018-09-30,25
2018-10-07,21
2018-10-14,28
2018-10-21,6
2018-10-28,21
2018-11-04,19
2018-11-11,16
2018-11-18,26
2018-11-25,29
2018-12-02,14
2018-12-09,9
2018-12-16,9
2018-12-23,4
2018-12-30,8
2019-01-06,8
2019-01-13,20
2019-01-20,18
2019-01-27,18
2019-02-03,9
2019-02-10,15
2019-02-17,27
2019-02-24,13
2019-03-03,20
2019-03-10,28
2019-03-17,23
2019-03-24,17
2019-03-31,22
2019-04-07,17
2019-04-14,12
2019-04-21,9
2019-04-28,15
2019-05-05,20
2019-05-12,20
2019-05-19,11
2019-05-26,25
2019-06-02,11
2019-06-09,3
2019-06-16,19
2019-06-23,14
2019-06-30,10
2019-07-07,13
2019-07-14,16
2019-07-21,7
2019-07-28,0
2019-08-04,10
2019-08-11,9
2019-08-18,5
2019-08-25,12
2019-09-01,23
2019-09-08,18
2019-09-15,31
2019-09-22,26
2019-09-29,20
2019-10-06,20
2019-10-13,26
2019-10-20,23
2019-10-27,22
2019-11-03,33
2019-11-10,30
2019-11-17,24
2019-11-24,22
2019-12-01,17
2019-12-08,12
2019-12-15,11
2019-12-22,4
2019-12-29,6
2020-01-05,3
2020-01-12,13
2020-01-19,11
2020-01-26,25
2020-02-02,15
2020-02-09,11
2020-02-16,100
2020-02-23,99
2020-03-01,28
2020-03-08,26
2020-03-15,16
2020-03-22,18
2020-03-29,24
2020-04-05,11
2020-04-12,31
2020-04-19,34
2020-04-26,46
2020-05-03,34
2020-05-10,25
2020-05-17,21
2020-05-24,23
2020-05-31,46
2020-06-07,27
2020-06-14,16
2020-06-21,18
2020-06-28,9
2020-07-05,6
2020-07-12,11
2020-07-19,13
2020-07-26,13
2020-08-02,8
2020-08-09,5
2020-08-16,10
2020-08-23,9
2020-08-30,6
2020-09-06,16
2020-09-13,13
2020-09-20,10
2020-09-27,10
2020-10-04,17
2020-10-11,14
2020-10-18,16
2020-10-25,24
2020-11-01,12
2020-11-08,14
2020-11-15,23
2020-11-22,30
2020-11-29,21
2020-12-06,18
2020-12-13,16
2020-12-20,8
2020-12-27,6
2021-01-03,17
2021-01-10,19
2021-01-17,26
2021-01-24,15
2021-01-31,27
2021-02-07,22
2021-02-14,25
2021-02-21,12
2021-02-28,17
2021-03-07,32
2021-03-14,37
2021-03-21,21
2021-03-28,9
2021-04-04,14
2021-04-11,16
2021-04-18,20
2021-04-25,18
2021-05-02,28
2021-05-09,23
2021-05-16,23
2021-05-23,14
2021-05-30,16
2021-06-06,18
2021-06-13,20
2021-06-20,20
2021-06-27,23
2021-07-04,18
2021-07-11,26
2021-07-18,14
2021-07-25,18
2021-08-01,11
2021-08-08,6
2021-08-15,10
2021-08-22,6
2021-08-29,7
2021-09-05,4
2021-09-12,20
2021-09-19,3
2021-09-26,27
2021-10-03,37
2021-10-10,35
2021-10-17,49
2021-10-24,47
2021-10-31,30
2021-11-07,31
2021-11-14,41
2021-11-21,50
2021-11-28,27
2021-12-05,40
2021-12-12,19
2021-12-19,4
2021-12-26,7
2022-01-02,9
2022-01-09,9
2022-01-16,19
2022-01-23,20
2022-01-30,25
2022-02-06,37
2022-02-13,38
2022-02-20,36
2022-02-27,43
2022-03-06,34
2022-03-13,43
2022-03-20,42
2022-03-27,39
2022-04-03,40
2022-04-10,19
2022-04-17,35
2022-04-24,38
2022-05-01,30
2022-05-08,37
2022-05-15,28
2022-05-22,37
2022-05-29,38
2022-06-05,40
2022-06-12,39
2022-06-19,35
2022-06-26,20
2022-07-03,27
2022-07-10,9
2022-07-17,19
2022-07-24,16
2022-07-31,14
2022-08-07,11
2022-08-14,13
2022-08-21,9
2022-08-28,12
2022-09-04,13
2022-09-11,14
2022-09-18,16
2022-09-25,26
2022-10-02,32
2022-10-09,37
2022-10-16,31
2022-10-23,35
2022-10-30,33
2022-11-06,34
2022-11-13,27
2022-11-20,32
2022-11-27,29
2022-12-04,31
2022-12-11,22
2022-12-18,6
2022-12-25,5
2023-01-01,3
2023-01-08,20
2023-01-15,22
2023-01-22,25
2023-01-29,26
2023-02-05,36
2023-02-12,43
2023-02-19,29
2023-02-26,39
2023-03-05,39
2023-03-12,34
2023-03-19,35
2023-03-26,22
2023-04-02,10
2023-04-09,21
2023-04-16,28
2023-04-23,27
2023-04-30,24
2023-05-07,31
2023-05-14,24
2023-05-21,27
2023-05-28,32
2023-06-04,35
2023-06-11,23
2023-06-18,16
2023-06-25,16
2023-07-02,19
2023-07-09,12
2023-07-16,11
2023-07-23,16
