Categoría: Todas las categorías

Semana,Manifestación: (El Salvador)
2018-08-05,0
2018-08-12,18
2018-08-19,14
2018-08-26,33
2018-09-02,31
2018-09-09,18
2018-09-16,8
2018-09-23,10
2018-09-30,18
2018-10-07,16
2018-10-14,16
2018-10-21,16
2018-10-28,26
2018-11-04,23
2018-11-11,18
2018-11-18,8
2018-11-25,0
2018-12-02,22
2018-12-09,31
2018-12-16,0
2018-12-23,22
2018-12-30,0
2019-01-06,16
2019-01-13,11
2019-01-20,12
2019-01-27,0
2019-02-03,21
2019-02-10,25
2019-02-17,20
2019-02-24,10
2019-03-03,11
2019-03-10,19
2019-03-17,18
2019-03-24,0
2019-03-31,31
2019-04-07,24
2019-04-14,9
2019-04-21,37
2019-04-28,57
2019-05-05,46
2019-05-12,12
2019-05-19,28
2019-05-26,14
2019-06-02,38
2019-06-09,26
2019-06-16,14
2019-06-23,28
2019-06-30,15
2019-07-07,20
2019-07-14,21
2019-07-21,0
2019-07-28,15
2019-08-04,10
2019-08-11,39
2019-08-18,34
2019-08-25,23
2019-09-01,38
2019-09-08,12
2019-09-15,13
2019-09-22,24
2019-09-29,21
2019-10-06,18
2019-10-13,0
2019-10-20,31
2019-10-27,0
2019-11-03,20
2019-11-10,0
2019-11-17,13
2019-11-24,19
2019-12-01,0
2019-12-08,21
2019-12-15,16
2019-12-22,0
2019-12-29,0
2020-01-05,8
2020-01-12,8
2020-01-19,11
2020-01-26,17
2020-02-02,17
2020-02-09,23
2020-02-16,16
2020-02-23,36
2020-03-01,20
2020-03-08,26
2020-03-15,27
2020-03-22,24
2020-03-29,23
2020-04-05,40
2020-04-12,0
2020-04-19,24
2020-04-26,30
2020-05-03,17
2020-05-10,44
2020-05-17,14
2020-05-24,19
2020-05-31,48
2020-06-07,28
2020-06-14,17
2020-06-21,12
2020-06-28,48
2020-07-05,30
2020-07-12,12
2020-07-19,10
2020-07-26,23
2020-08-02,9
2020-08-09,9
2020-08-16,20
2020-08-23,31
2020-08-30,16
2020-09-06,13
2020-09-13,16
2020-09-20,18
2020-09-27,22
2020-10-04,47
2020-10-11,25
2020-10-18,17
2020-10-25,44
2020-11-01,0
2020-11-08,10
2020-11-15,17
2020-11-22,8
2020-11-29,8
2020-12-06,0
2020-12-13,15
2020-12-20,0
2020-12-27,12
2021-01-03,16
2021-01-10,9
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,14
2021-02-14,20
2021-02-21,24
2021-02-28,22
2021-03-07,26
2021-03-14,15
2021-03-21,20
2021-03-28,31
2021-04-04,0
2021-04-11,25
2021-04-18,10
2021-04-25,10
2021-05-02,18
2021-05-09,22
2021-05-16,19
2021-05-23,8
2021-05-30,10
2021-06-06,19
2021-06-13,16
2021-06-20,0
2021-06-27,23
2021-07-04,27
2021-07-11,28
2021-07-18,20
2021-07-25,30
2021-08-01,27
2021-08-08,32
2021-08-15,26
2021-08-22,15
2021-08-29,21
2021-09-05,34
2021-09-12,24
2021-09-19,13
2021-09-26,33
2021-10-03,19
2021-10-10,44
2021-10-17,100
2021-10-24,19
2021-10-31,29
2021-11-07,23
2021-11-14,15
2021-11-21,6
2021-11-28,16
2021-12-05,29
2021-12-12,48
2021-12-19,20
2021-12-26,12
2022-01-02,13
2022-01-09,0
2022-01-16,22
2022-01-23,12
2022-01-30,23
2022-02-06,42
2022-02-13,26
2022-02-20,38
2022-02-27,20
2022-03-06,30
2022-03-13,40
2022-03-20,55
2022-03-27,25
2022-04-03,41
2022-04-10,13
2022-04-17,28
2022-04-24,42
2022-05-01,38
2022-05-08,36
2022-05-15,36
2022-05-22,30
2022-05-29,14
2022-06-05,19
2022-06-12,8
2022-06-19,27
2022-06-26,35
2022-07-03,7
2022-07-10,26
2022-07-17,21
2022-07-24,31
2022-07-31,26
2022-08-07,26
2022-08-14,30
2022-08-21,34
2022-08-28,23
2022-09-04,0
2022-09-11,27
2022-09-18,21
2022-09-25,6
2022-10-02,24
2022-10-09,15
2022-10-16,20
2022-10-23,30
2022-10-30,26
2022-11-06,39
2022-11-13,15
2022-11-20,26
2022-11-27,16
2022-12-04,8
2022-12-11,12
2022-12-18,12
2022-12-25,0
2023-01-01,13
2023-01-08,6
2023-01-15,23
2023-01-22,17
2023-01-29,18
2023-02-05,14
2023-02-12,11
2023-02-19,26
2023-02-26,38
2023-03-05,30
2023-03-12,27
2023-03-19,33
2023-03-26,23
2023-04-02,18
2023-04-09,25
2023-04-16,33
2023-04-23,31
2023-04-30,42
2023-05-07,27
2023-05-14,48
2023-05-21,41
2023-05-28,23
2023-06-04,23
2023-06-11,18
2023-06-18,0
2023-06-25,19
2023-07-02,25
2023-07-09,16
2023-07-16,30
2023-07-23,40
